Group,Num,Time,Priority,Category,Message,Source,Destination,Notes,Rule
1,53,UTC 11/01/2014 07:21:24.416,Notice,Network Access,Web management request allowed,"157.55.39.83,15684,X1","173.240.220.68,80,X1",TCP HTTP,
1,54,UTC 11/01/2014 07:21:30.608,Notice,Network Access,UDP packet dropped,"176.102.216.205,23916,X1","173.240.220.68,31585,X1",Port: 31585,
1,55,UTC 11/01/2014 07:21:49.752,Notice,Network Access,TCP connection dropped,"114.97.154.92,52898,X1","173.240.220.68,23,X1",Telnet,
1,56,UTC 11/01/2014 07:22:14.176,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1195,X0",Port: 1195,
1,57,UTC 11/01/2014 07:22:32.464,Notice,Network Access,Web management request allowed,"216.255.240.34,53980,X1","173.240.220.68,80,X1",TCP HTTP,
1,58,UTC 11/01/2014 07:22:32.464,Notice,Network Access,Web management request allowed,"216.255.240.34,53981,X1","173.240.220.68,80,X1",TCP HTTP,
1,59,UTC 11/01/2014 07:22:36.352,Notice,Network Access,UDP packet dropped,"91.234.27.87,56190,X1","173.240.220.68,25091,X1",Port: 25091,
1,60,UTC 11/01/2014 07:23:11.912,Notice,Network Access,TCP connection dropped,"188.138.9.50,28693,X1","173.240.220.68,1471,X1",RPC Services,
1,61,UTC 11/01/2014 07:23:12.416,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
1,62,UTC 11/01/2014 07:23:14.496,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,63,UTC 11/01/2014 07:23:19.096,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1209,X0",Port: 1209,
1,64,UTC 11/01/2014 07:23:35.768,Notice,Network Access,UDP packet dropped,"213.167.193.234,16135,X1","173.240.220.68,31585,X1",Port: 31585,
1,65,UTC 11/01/2014 07:23:36.496,Notice,Network Access,Web management request allowed,"180.188.253.18,56363,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,80,X1",TCP HTTP,
1,66,UTC 11/01/2014 07:23:39.928,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
1,67,UTC 11/01/2014 07:24:27.736,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1223,X0",Port: 1223,
1,68,UTC 11/01/2014 07:24:31.944,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
1,69,UTC 11/01/2014 07:24:35.688,Notice,Network Access,UDP packet dropped,"93.178.65.236,56635,X1","173.240.220.68,25091,X1",Port: 25091,
1,70,UTC 11/01/2014 07:24:39.240,Notice,Network Access,TCP connection dropped,"88.159.97.132,48934,X1","173.240.220.68,26965,X1",Port: 26965,
1,71,UTC 11/01/2014 07:24:47.480,Notice,Network Access,Web management request allowed,"216.255.240.34,54024,X1","173.240.220.68,80,X1",TCP HTTP,
1,72,UTC 11/01/2014 07:25:26.608,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,73,UTC 11/01/2014 07:25:35.624,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1234,X0",Port: 1234,
1,74,UTC 11/01/2014 07:25:40.880,Notice,Network Access,UDP packet dropped,"108.21.51.152,11785,X1","173.240.220.68,52741,X1",Port: 52741,
1,75,UTC 11/01/2014 07:25:44.352,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
1,76,UTC 11/01/2014 07:25:54.096,Notice,Network Access,Web management request allowed,"180.188.253.18,56507,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,80,X1",TCP HTTP,
1,77,UTC 11/01/2014 07:26:29.208,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,78,UTC 11/01/2014 07:26:36.608,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1248,X0",Port: 1248,
1,79,UTC 11/01/2014 07:26:49.288,Notice,Network Access,UDP packet dropped,"173.240.220.50,35928,X1","173.240.220.255,137",NetBios NS UDP,
1,80,UTC 11/01/2014 07:26:57.720,Notice,Network Access,Web management request allowed,"216.255.240.34,54061,X1","173.240.220.68,80,X1",TCP HTTP,
1,81,UTC 11/01/2014 07:27:21.480,Notice,Network Access,TCP connection dropped,"27.106.44.74,49368,X1","173.240.220.68,20475,X1",Port: 20475,
1,82,UTC 11/01/2014 07:27:21.784,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
1,83,UTC 11/01/2014 07:27:30.432,Notice,Network Access,UDP packet dropped,"173.240.220.50,57307,X1","173.240.220.255,137",NetBios NS UDP,
1,84,UTC 11/01/2014 07:27:47.528,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1261,X0",Port: 1261,
1,85,UTC 11/01/2014 07:27:50.816,Notice,Network Access,UDP packet dropped,"27.106.44.74,49066,X1","173.240.220.68,20475,X1",Port: 20475,
1,86,UTC 11/01/2014 07:28:02.512,Notice,Network Access,Web management request allowed,"216.255.240.34,54083,X1","173.240.220.68,80,X1",TCP HTTP,
1,87,UTC 11/01/2014 07:28:26.192,Notice,Network Access,TCP connection dropped,"178.184.188.13,53347,X1","173.240.220.68,20475,X1",Port: 20475,
1,88,UTC 11/01/2014 07:28:47.528,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1269,X0",Port: 1269,
1,89,UTC 11/01/2014 07:28:52.144,Notice,Network Access,UDP packet dropped,"178.184.87.41,44285,X1","173.240.220.68,31585,X1",Port: 31585,
1,90,UTC 11/01/2014 07:28:54.416,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
1,91,UTC 11/01/2014 07:29:07.720,Notice,Network Access,Web management request allowed,"216.255.240.34,54100,X1","173.240.220.68,80,X1",TCP HTTP,
1,92,UTC 11/01/2014 07:29:21.704,Notice,Network Access,TCP connection dropped,"195.38.126.219,2272,X1","173.240.220.68,26965,X1",Port: 26965,
