Group,Num,Time,Priority,Category,Message,Source,Destination,Notes,Rule
4,16,UTC 11/01/2014 08:43:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55466,X1","173.240.220.68,80,X1",TCP HTTP,
4,17,UTC 11/01/2014 08:44:10.176,Notice,Network Access,UDP packet dropped,"2.236.246.107,62978,X1","173.240.220.68,26965,X1",Port: 26965,
4,18,UTC 11/01/2014 08:44:27.784,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1803,X0",Port: 1803,
4,19,UTC 11/01/2014 08:44:45.832,Notice,Network Access,UDP packet dropped,"121.6.76.13,32874,X1,bb121-6-76-13.singnet.com.sg","173.240.220.68,27630,X1",Port: 27630,
4,20,UTC 11/01/2014 08:44:47.400,Notice,Network Access,Web management request allowed,"100.43.81.145,47794,X1","173.240.220.68,80,X1",TCP HTTP,
4,21,UTC 11/01/2014 08:45:06.624,Notice,Firewall Event,System time updated based on response from NTP server,,,Received reply from NTP server 204.2.134.164. Update system time from 11/01/2014 01:45:06.240 to 11/01/2014 01:45:06.624,
4,22,UTC 11/01/2014 08:45:14.736,Notice,Network Access,UDP packet dropped,"173.240.220.50,33067,X1","173.240.220.255,137",NetBios NS UDP,
4,23,UTC 11/01/2014 08:45:27.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1808,X0",Port: 1808,
4,24,UTC 11/01/2014 08:45:34.480,Notice,Network Access,TCP connection dropped,"5.100.125.72,56346,X1,5-100-125-72.ipoe.vladlink.net","173.240.220.68,26965,X1",Port: 26965,
4,25,UTC 11/01/2014 08:45:46.928,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
4,26,UTC 11/01/2014 08:45:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55496,X1","173.240.220.68,80,X1",TCP HTTP,
4,27,UTC 11/01/2014 08:46:27.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1814,X0",Port: 1814,
4,28,UTC 11/01/2014 08:46:29.384,Notice,Network Access,UDP packet dropped,"173.240.220.50,46530,X1","173.240.220.255,137",NetBios NS UDP,
4,29,UTC 11/01/2014 08:46:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55513,X1","173.240.220.68,80,X1",TCP HTTP,
4,30,UTC 11/01/2014 08:46:59.944,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,31,UTC 11/01/2014 08:47:27.784,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1818,X0",Port: 1818,
4,32,UTC 11/01/2014 08:47:40.480,Notice,Network Access,UDP packet dropped,"5.100.125.72,1034,X1,5-100-125-72.ipoe.vladlink.net","173.240.220.68,26965,X1",Port: 26965,
4,33,UTC 11/01/2014 08:47:40.480,Notice,Network Access,TCP connection dropped,"5.100.125.72,56828,X1,5-100-125-72.ipoe.vladlink.net","173.240.220.68,26965,X1",Port: 26965,
4,34,UTC 11/01/2014 08:47:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55528,X1","173.240.220.68,80,X1",TCP HTTP,
4,35,UTC 11/01/2014 08:48:27.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1820,X0",Port: 1820,
4,36,UTC 11/01/2014 08:48:38.096,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
4,37,UTC 11/01/2014 08:48:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55543,X1","173.240.220.68,80,X1",TCP HTTP,
4,38,UTC 11/01/2014 08:48:57.208,Info,Network Access,DNS packet allowed,"4.2.2.3,53,X1,c.resolvers.level3.net","173.240.220.68,1024,X1",Port: 1024,
4,39,UTC 11/01/2014 08:49:03.336,Notice,Network Access,UDP packet dropped,"2.236.246.107,41887,X1","173.240.220.68,26965,X1",Port: 26965,
4,40,UTC 11/01/2014 08:49:20.432,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,41,UTC 11/01/2014 08:49:38.320,Notice,Network Access,Web management request allowed,"204.212.170.10,16747,X1,snwlhosted.com","173.240.220.68,80,X1",TCP HTTP,
4,42,UTC 11/01/2014 08:49:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55561,X1","173.240.220.68,80,X1",TCP HTTP,
4,43,UTC 11/01/2014 08:49:55.832,Notice,Network Access,TCP connection dropped,"151.15.58.147,59217,X1,ppp-147-58.15-151.iol.it","173.240.220.68,26965,X1",Port: 26965,
4,44,UTC 11/01/2014 08:49:57.224,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1827,X0",Port: 1827,
4,45,UTC 11/01/2014 08:50:04.848,Notice,Network Access,UDP packet dropped,"178.184.89.27,38381,X1","173.240.220.68,31585,X1",Port: 31585,
4,46,UTC 11/01/2014 08:50:06.640,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
4,47,UTC 11/01/2014 08:50:25.192,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,48,UTC 11/01/2014 08:50:47.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55576,X1","173.240.220.68,80,X1",TCP HTTP,
4,49,UTC 11/01/2014 08:51:06.688,Notice,Network Access,UDP packet dropped,"78.205.45.149,48818,X1,sgc91-6-78-205-45-149.fbx.proxad.net","173.240.220.68,26965,X1",Port: 26965,
4,50,UTC 11/01/2014 08:51:07.880,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1834,X0",Port: 1834,
4,51,UTC 11/01/2014 08:51:27.448,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,52,UTC 11/01/2014 08:51:46.336,Notice,Network Access,TCP connection dropped,"78.205.45.149,50922,X1,sgc91-6-78-205-45-149.fbx.proxad.net","173.240.220.68,26965,X1",Port: 26965,
4,53,UTC 11/01/2014 08:51:57.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55597,X1","173.240.220.68,80,X1",TCP HTTP,
4,54,UTC 11/01/2014 08:52:07.864,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1836,X0",Port: 1836,
4,55,UTC 11/01/2014 08:52:57.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55613,X1","173.240.220.68,80,X1",TCP HTTP,
4,56,UTC 11/01/2014 08:53:07.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1838,X0",Port: 1838,
4,57,UTC 11/01/2014 08:53:09.176,Notice,Network Access,UDP packet dropped,"5.14.33.107,49943,X1,5-14-33-107.residential.rdsnet.ro","173.240.220.68,20475,X1",Port: 20475,
4,58,UTC 11/01/2014 08:53:34.944,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,59,UTC 11/01/2014 08:53:57.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55630,X1","173.240.220.68,80,X1",TCP HTTP,
4,60,UTC 11/01/2014 08:54:07.784,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1843,X0",Port: 1843,
4,61,UTC 11/01/2014 08:54:27.768,Notice,Network Access,UDP packet dropped,"151.15.58.147,23318,X1,ppp-147-58.15-151.iol.it","173.240.220.68,26965,X1",Port: 26965,
4,62,UTC 11/01/2014 08:54:31.816,Notice,Network Access,TCP connection dropped,"151.15.58.147,59994,X1,ppp-147-58.15-151.iol.it","173.240.220.68,26965,X1",Port: 26965,
4,63,UTC 11/01/2014 08:54:57.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55644,X1","173.240.220.68,80,X1",TCP HTTP,
4,64,UTC 11/01/2014 08:55:07.784,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1846,X0",Port: 1846,
4,65,UTC 11/01/2014 08:55:54.384,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,66,UTC 11/01/2014 08:55:56.080,Notice,Network Access,UDP packet dropped,"173.240.220.50,43670,X1","173.240.220.255,137",NetBios NS UDP,
4,67,UTC 11/01/2014 08:55:57.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55662,X1","173.240.220.68,80,X1",TCP HTTP,
4,68,UTC 11/01/2014 08:56:07.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1853,X0",Port: 1853,
4,69,UTC 11/01/2014 08:57:02.240,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,70,UTC 11/01/2014 08:57:03.224,Notice,Network Access,Web management request allowed,"216.255.240.34,55680,X1","173.240.220.68,80,X1",TCP HTTP,
4,71,UTC 11/01/2014 08:57:07.784,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1855,X0",Port: 1855,
4,72,UTC 11/01/2014 08:57:29.192,Notice,Network Access,UDP packet dropped,"5.14.33.107,50057,X1,5-14-33-107.residential.rdsnet.ro","173.240.220.68,20475,X1",Port: 20475,
4,73,UTC 11/01/2014 08:57:29.192,Notice,Network Access,TCP connection dropped,"5.14.33.107,50444,X1,5-14-33-107.residential.rdsnet.ro","173.240.220.68,20475,X1",Port: 20475,
4,74,UTC 11/01/2014 08:58:03.240,Notice,Network Access,Web management request allowed,"216.255.240.34,55703,X1","173.240.220.68,80,X1",TCP HTTP,
4,75,UTC 11/01/2014 08:58:27.784,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1860,X0",Port: 1860,
4,76,UTC 11/01/2014 08:58:29.336,Notice,Network Access,TCP connection dropped,"180.151.42.74,49441,X1","173.240.220.68,26965,X1",Port: 26965,
4,77,UTC 11/01/2014 08:58:29.592,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
4,78,UTC 11/01/2014 08:58:31.224,Notice,Network Access,UDP packet dropped,"93.24.20.90,33505,X1,90.20.24.93.rev.sfr.net","173.240.220.68,20475,X1",Port: 20475,
4,79,UTC 11/01/2014 08:59:03.240,Notice,Network Access,Web management request allowed,"216.255.240.34,55720,X1","173.240.220.68,80,X1",TCP HTTP,
4,80,UTC 11/01/2014 08:59:27.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1865,X0",Port: 1865,
4,81,UTC 11/01/2014 08:59:46.112,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,82,UTC 11/01/2014 09:00:00.384,Notice,Network Access,UDP packet dropped,"180.151.42.74,44459,X1","173.240.220.68,26965,X1",Port: 26965,
4,83,UTC 11/01/2014 09:00:03.256,Notice,Network Access,Web management request allowed,"216.255.240.34,55736,X1","173.240.220.68,80,X1",TCP HTTP,
4,84,UTC 11/01/2014 09:00:27.784,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1871,X0",Port: 1871,
4,85,UTC 11/01/2014 09:00:34.496,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
4,86,UTC 11/01/2014 09:01:01.752,Notice,Network Access,UDP packet dropped,"173.240.220.50,33051,X1","173.240.220.255,137",NetBios NS UDP,
4,87,UTC 11/01/2014 09:01:03.256,Notice,Network Access,Web management request allowed,"216.255.240.34,55751,X1","173.240.220.68,80,X1",TCP HTTP,
4,88,UTC 11/01/2014 09:01:27.784,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1875,X0",Port: 1875,
4,89,UTC 11/01/2014 09:01:29.704,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,90,UTC 11/01/2014 09:02:03.272,Notice,Network Access,Web management request allowed,"216.255.240.34,55770,X1","173.240.220.68,80,X1",TCP HTTP,
4,91,UTC 11/01/2014 09:02:21.944,Notice,Network Access,UDP packet dropped,"95.55.132.156,12259,X1","173.240.220.68,26965,X1",Port: 26965,
4,92,UTC 11/01/2014 09:02:22.320,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
4,93,UTC 11/01/2014 09:02:42.448,Info,Network Access,DNS packet allowed,"4.2.2.3,53,X1,c.resolvers.level3.net","173.240.220.68,1024,X1",Port: 1024,
4,94,UTC 11/01/2014 09:03:03.272,Notice,Network Access,Web management request allowed,"216.255.240.34,55785,X1","173.240.220.68,80,X1",TCP HTTP,
4,95,UTC 11/01/2014 09:03:37.240,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,96,UTC 11/01/2014 09:03:41.176,Notice,Network Access,TCP connection dropped,"5.14.33.107,51112,X1,5-14-33-107.residential.rdsnet.ro","173.240.220.68,20475,X1",Port: 20475,
4,97,UTC 11/01/2014 09:03:41.176,Notice,Network Access,UDP packet dropped,"5.14.33.107,50057,X1,5-14-33-107.residential.rdsnet.ro","173.240.220.68,20475,X1",Port: 20475,
4,98,UTC 11/01/2014 09:03:48.448,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1882,X0",Port: 1882,
4,99,UTC 11/01/2014 09:04:00.208,Info,Network Access,DNS packet allowed,"4.2.2.3,53,X1,c.resolvers.level3.net","173.240.220.68,1024,X1",Port: 1024,
4,100,UTC 11/01/2014 09:04:03.288,Notice,Network Access,Web management request allowed,"216.255.240.34,55805,X1","173.240.220.68,80,X1",TCP HTTP,
4,101,UTC 11/01/2014 09:04:37.768,Notice,Network Access,Web management request allowed,"216.255.240.34,55814,X1","173.240.220.68,80,X1",TCP HTTP,
4,102,UTC 11/01/2014 09:04:56.640,Notice,Network Access,UDP packet dropped,"5.199.223.237,43317,X1,5-199-223-237.k-telecom.org","173.240.220.68,26965,X1",Port: 26965,
4,103,UTC 11/01/2014 09:04:56.656,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1886,X0",Port: 1886,
4,104,UTC 11/01/2014 09:05:03.288,Notice,Network Access,Web management request allowed,"216.255.240.34,55824,X1","173.240.220.68,80,X1",TCP HTTP,
4,105,UTC 11/01/2014 09:05:17.304,Notice,Network Access,TCP connection dropped,"180.151.42.74,50767,X1","173.240.220.68,26965,X1",Port: 26965,
4,106,UTC 11/01/2014 09:05:58.256,Notice,Network Access,UDP packet dropped,"95.169.131.79,35037,X1","173.240.220.68,20475,X1",Port: 20475,
4,107,UTC 11/01/2014 09:05:58.384,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1891,X0",Port: 1891,
4,108,UTC 11/01/2014 09:06:03.304,Notice,Network Access,Web management request allowed,"216.255.240.34,55837,X1","173.240.220.68,80,X1",TCP HTTP,
4,109,UTC 11/01/2014 09:06:19.240,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,110,UTC 11/01/2014 09:07:03.304,Notice,Network Access,Web management request allowed,"216.255.240.34,55854,X1","173.240.220.68,80,X1",TCP HTTP,
4,111,UTC 11/01/2014 09:07:07.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1896,X0",Port: 1896,
4,112,UTC 11/01/2014 09:07:16.256,Notice,Network Access,UDP packet dropped,"173.240.220.50,59015,X1","173.240.220.255,137",NetBios NS UDP,
4,113,UTC 11/01/2014 09:07:59.752,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,114,UTC 11/01/2014 09:08:03.320,Notice,Network Access,Web management request allowed,"216.255.240.34,55870,X1","173.240.220.68,80,X1",TCP HTTP,
4,115,UTC 11/01/2014 09:08:07.800,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1901,X0",Port: 1901,
4,116,UTC 11/01/2014 09:09:03.336,Notice,Network Access,Web management request allowed,"216.255.240.34,55888,X1","173.240.220.68,80,X1",TCP HTTP,
4,117,UTC 11/01/2014 09:09:07.880,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1903,X0",Port: 1903,
4,118,UTC 11/01/2014 09:09:15.336,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,119,UTC 11/01/2014 09:10:03.336,Notice,Network Access,Web management request allowed,"216.255.240.34,55903,X1","173.240.220.68,80,X1",TCP HTTP,
4,120,UTC 11/01/2014 09:10:08.112,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1905,X0",Port: 1905,
4,121,UTC 11/01/2014 09:10:08.112,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
4,122,UTC 11/01/2014 09:10:08.400,Notice,Network Access,TCP connection dropped,"180.151.42.74,51635,X1","173.240.220.68,26965,X1",Port: 26965,
4,123,UTC 11/01/2014 09:10:08.448,Notice,Network Access,UDP packet dropped,"180.151.42.74,44459,X1","173.240.220.68,26965,X1",Port: 26965,
4,124,UTC 11/01/2014 09:10:17.464,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,125,UTC 11/01/2014 09:11:03.336,Notice,Network Access,Web management request allowed,"216.255.240.34,55920,X1","173.240.220.68,80,X1",TCP HTTP,
4,126,UTC 11/01/2014 09:11:23.608,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
4,127,UTC 11/01/2014 09:11:25.272,Notice,Network Access,UDP packet dropped,"173.240.220.50,60119,X1","173.240.220.255,137",NetBios NS UDP,
4,128,UTC 11/01/2014 09:11:27.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1911,X0",Port: 1911,
4,129,UTC 11/01/2014 09:12:03.352,Notice,Network Access,Web management request allowed,"216.255.240.34,55942,X1","173.240.220.68,80,X1",TCP HTTP,
4,130,UTC 11/01/2014 09:12:27.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1914,X0",Port: 1914,
4,131,UTC 11/01/2014 09:12:39.832,Notice,Network Access,UDP packet dropped,"176.49.185.234,26872,X1","173.240.220.68,20475,X1",Port: 20475,
4,132,UTC 11/01/2014 09:12:40.144,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
4,133,UTC 11/01/2014 09:13:03.352,Notice,Network Access,Web management request allowed,"216.255.240.34,55960,X1","173.240.220.68,80,X1",TCP HTTP,
5,1,UTC 11/01/2014 09:13:27.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1917,X0",Port: 1917,
5,2,UTC 11/01/2014 09:13:39.512,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
5,3,UTC 11/01/2014 09:13:44.176,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
5,4,UTC 11/01/2014 09:14:03.368,Notice,Network Access,Web management request allowed,"216.255.240.34,55975,X1","173.240.220.68,80,X1",TCP HTTP,
5,5,UTC 11/01/2014 09:14:12.000,Notice,Network Access,UDP packet dropped,"173.240.220.50,55919,X1","173.240.220.255,137",NetBios NS UDP,
5,6,UTC 11/01/2014 09:14:27.800,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1922,X0",Port: 1922,
5,7,UTC 11/01/2014 09:15:03.368,Notice,Network Access,Web management request allowed,"216.255.240.34,55990,X1","173.240.220.68,80,X1",TCP HTTP,
5,8,UTC 11/01/2014 09:15:27.800,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1924,X0",Port: 1924,
5,9,UTC 11/01/2014 09:15:29.448,Notice,Network Access,UDP packet dropped,"39.50.176.5,55714,X1","173.240.220.68,20475,X1",Port: 20475,
5,10,UTC 11/01/2014 09:16:03.384,Notice,Network Access,Web management request allowed,"216.255.240.34,56007,X1","173.240.220.68,80,X1",TCP HTTP,
5,11,UTC 11/01/2014 09:16:27.800,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1928,X0",Port: 1928,
5,12,UTC 11/01/2014 09:17:03.384,Notice,Network Access,Web management request allowed,"216.255.240.34,56025,X1","173.240.220.68,80,X1",TCP HTTP,
5,13,UTC 11/01/2014 09:17:06.768,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
5,14,UTC 11/01/2014 09:17:18.688,Notice,Network Access,UDP packet dropped,"173.240.220.50,33137,X1","173.240.220.255,137",NetBios NS UDP,
5,15,UTC 11/01/2014 09:17:27.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1932,X0",Port: 1932,
5,16,UTC 11/01/2014 09:18:03.400,Notice,Network Access,Web management request allowed,"216.255.240.34,56039,X1","173.240.220.68,80,X1",TCP HTTP,
5,17,UTC 11/01/2014 09:18:21.000,Notice,Network Access,UDP packet dropped,"173.240.220.50,47874,X1","173.240.220.255,137",NetBios NS UDP,
5,18,UTC 11/01/2014 09:18:27.800,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1936,X0",Port: 1936,
5,19,UTC 11/01/2014 09:18:38.608,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
5,20,UTC 11/01/2014 09:19:03.208,Info,Network Access,DNS packet allowed,"4.2.2.3,53,X1,c.resolvers.level3.net","173.240.220.68,1024,X1",Port: 1024,
5,21,UTC 11/01/2014 09:19:03.400,Notice,Network Access,Web management request allowed,"216.255.240.34,56053,X1","173.240.220.68,80,X1",TCP HTTP,
5,22,UTC 11/01/2014 09:19:27.384,Notice,Network Access,Web management request allowed,"204.212.170.10,39695,X1,snwlhosted.com","173.240.220.68,80,X1",TCP HTTP,
5,23,UTC 11/01/2014 09:19:27.800,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1940,X0",Port: 1940,
5,24,UTC 11/01/2014 09:19:31.880,Notice,Network Access,UDP packet dropped,"95.54.120.83,10093,X1,pppoe.95-54-120-83.avangarddsl.ru","173.240.220.68,31585,X1",Port: 31585,
5,25,UTC 11/01/2014 09:20:02.112,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
5,26,UTC 11/01/2014 09:20:03.416,Notice,Network Access,Web management request allowed,"216.255.240.34,56076,X1","173.240.220.68,80,X1",TCP HTTP,
5,27,UTC 11/01/2014 09:20:27.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1944,X0",Port: 1944,
5,28,UTC 11/01/2014 09:20:38.848,Notice,Network Access,UDP packet dropped,"195.211.78.251,29175,X1,195.211.78.251.lantek.ru","173.240.220.68,20475,X1",Port: 20475,
5,29,UTC 11/01/2014 09:20:39.512,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
5,30,UTC 11/01/2014 09:21:03.416,Notice,Network Access,Web management request allowed,"216.255.240.34,56091,X1","173.240.220.68,80,X1",TCP HTTP,
5,31,UTC 11/01/2014 09:21:17.848,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
5,32,UTC 11/01/2014 09:21:27.800,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1949,X0",Port: 1949,
5,33,UTC 11/01/2014 09:21:45.624,Notice,Network Access,TCP connection dropped,"5.199.223.237,52683,X1,5-199-223-237.k-telecom.org","173.240.220.68,26965,X1",Port: 26965,
5,34,UTC 11/01/2014 09:21:45.624,Notice,Network Access,UDP packet dropped,"5.199.223.237,43317,X1,5-199-223-237.k-telecom.org","173.240.220.68,26965,X1",Port: 26965,
5,35,UTC 11/01/2014 09:22:03.432,Notice,Network Access,Web management request allowed,"216.255.240.34,56110,X1","173.240.220.68,80,X1",TCP HTTP,
5,36,UTC 11/01/2014 09:22:17.384,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
5,37,UTC 11/01/2014 09:22:27.800,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1953,X0",Port: 1953,
5,38,UTC 11/01/2014 09:23:03.448,Notice,Network Access,Web management request allowed,"216.255.240.34,56133,X1","173.240.220.68,80,X1",TCP HTTP,
5,39,UTC 11/01/2014 09:23:07.624,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
5,40,UTC 11/01/2014 09:23:27.800,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1955,X0",Port: 1955,
5,41,UTC 11/01/2014 09:23:31.624,Notice,Network Access,TCP connection dropped,"5.199.223.237,52835,X1,5-199-223-237.k-telecom.org","173.240.220.68,26965,X1",Port: 26965,
5,42,UTC 11/01/2014 09:23:31.624,Notice,Network Access,UDP packet dropped,"5.199.223.237,43317,X1,5-199-223-237.k-telecom.org","173.240.220.68,26965,X1",Port: 26965,
5,43,UTC 11/01/2014 09:24:03.448,Notice,Network Access,Web management request allowed,"216.255.240.34,56158,X1","173.240.220.68,80,X1",TCP HTTP,
5,44,UTC 11/01/2014 09:24:27.800,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1957,X0",Port: 1957,
5,45,UTC 11/01/2014 09:24:35.512,Notice,Network Access,UDP packet dropped,"173.240.220.50,45390,X1","173.240.220.255,137",NetBios NS UDP,
