"#"  ," ","Time"                       ,"Priority","Category"                ,"Message"                                   ,"Source"                                                     ,"Destination"                                 ,"Notes"                                                            ,"Rule"
"113","" ,"UTC 11/01/2014 07:33:12.768","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"114","" ,"UTC 11/01/2014 07:33:14.336","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1314, X0"                       ,"Port:  1314"                                                      ,""
"115","" ,"UTC 11/01/2014 07:33:14.336","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"116","" ,"UTC 11/01/2014 07:33:37.720","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54172, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"117","" ,"UTC 11/01/2014 07:34:07.720","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54179, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"118","" ,"UTC 11/01/2014 07:34:15.016","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"119","" ,"UTC 11/01/2014 07:34:15.688","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"50.157.61.222, 52008, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"120","" ,"UTC 11/01/2014 07:34:18.544","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"180.188.253.18, 38807, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 4433, X1"                    ,"iMesh"                                                            ,""
"121","" ,"UTC 11/01/2014 07:34:27.304","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1325, X0"                       ,"Port:  1325"                                                      ,""
"122","" ,"UTC 11/01/2014 07:34:32.736","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"123","" ,"UTC 11/01/2014 07:34:47.560","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54187, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"124","" ,"UTC 11/01/2014 07:35:17.864","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"125","" ,"UTC 11/01/2014 07:35:21.688","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"180.188.253.18, 38807, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 4433, X1"                    ,"iMesh"                                                            ,""
"126","" ,"UTC 11/01/2014 07:35:23.128","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"81.84.155.122, 34130, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"127","" ,"UTC 11/01/2014 07:35:26.672","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1332, X0"                       ,"Port:  1332"                                                      ,""
"128","" ,"UTC 11/01/2014 07:35:39.592","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"129","" ,"UTC 11/01/2014 07:35:55.480","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56975, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"130","" ,"UTC 11/01/2014 07:36:19.752","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"131","" ,"UTC 11/01/2014 07:36:27.432","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1343, X0"                       ,"Port:  1343"                                                      ,""
"132","" ,"UTC 11/01/2014 07:36:28.464","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"46.71.173.99, 10123, X1"                                    ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
