"#"  ," ","Time"                       ,"Priority","Category"                ,"Message"                                   ,"Source"                                                     ,"Destination"                                 ,"Notes"                                                            ,"Rule"
"26" ,"" ,"UTC 11/01/2014 07:16:37.464","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"27" ,"" ,"UTC 11/01/2014 07:16:51.016","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                ,"172.30.51.1, 1120, X0"                       ,"Port:  1120"                                                      ,""
"28" ,"" ,"UTC 11/01/2014 07:16:57.192","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56035, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"29" ,"" ,"UTC 11/01/2014 07:17:02.064","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"110.33.16.176, 35316, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"30" ,"" ,"UTC 11/01/2014 07:17:51.704","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1133, X0"                       ,"Port:  1133"                                                      ,""
"31" ,"" ,"UTC 11/01/2014 07:18:02.432","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 53878, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"32" ,"" ,"UTC 11/01/2014 07:18:04.144","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56085, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"33" ,"" ,"UTC 11/01/2014 07:18:05.528","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"41.135.188.74, 20607, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"34" ,"" ,"UTC 11/01/2014 07:18:11.640","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1137, X0"                       ,"Port:  1137"                                                      ,""
"35" ,"" ,"UTC 11/01/2014 07:18:13.720","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"36" ,"" ,"UTC 11/01/2014 07:18:20.144","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"92.193.78.176, 35713, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"37" ,"" ,"UTC 11/01/2014 07:18:22.448","Info"    ,"Authenticated Access"    ,"User logged out - inactivity timer expired","172.30.73.30, 0, X0 raxley"                                 ,"172.30.51.1, 0, X0"                          ,"raxley"                                                           ,""
"38" ,"" ,"UTC 11/01/2014 07:18:36.560","Info"    ,"Network Access"          ,"ICMP packet allowed"                       ,"195.251.255.69, 14621, X1"                                  ,"173.240.220.68, 8, X1"                       ,"Echo, Code:   0"                                                  ,""
"39" ,"" ,"UTC 11/01/2014 07:18:37.448","Info"    ,"Authenticated Access"    ,"User logged out - inactivity timer expired","172.30.73.21, 0, X0 vingal"                                 ,"172.30.51.1, 0, X0"                          ,"vingal"                                                           ,""
"40" ,"" ,"UTC 11/01/2014 07:18:37.448","Info"    ,"Authenticated Access"    ,"User logged out - inactivity timer expired","172.30.73.29, 0, X0 mlight"                                 ,"172.30.51.1, 0, X0"                          ,"mlight"                                                           ,""
"41" ,"" ,"UTC 11/01/2014 07:18:54.768","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1151, X0"                       ,"Port:  1151"                                                      ,""
"42" ,"" ,"UTC 11/01/2014 07:19:06.288","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"43" ,"" ,"UTC 11/01/2014 07:19:10.560","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"110.33.16.176, 35316, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"44" ,"" ,"UTC 11/01/2014 07:19:12.256","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56151, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"45" ,"" ,"UTC 11/01/2014 07:19:21.800","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"81.163.64.80, 23864, X1"                                    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"46" ,"" ,"UTC 11/01/2014 07:19:26.176","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"47" ,"" ,"UTC 11/01/2014 07:20:01.048","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1173, X0"                       ,"Port:  1173"                                                      ,""
"48" ,"" ,"UTC 11/01/2014 07:20:20.032","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56223, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"49" ,"" ,"UTC 11/01/2014 07:20:23.000","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"106.69.50.132, 25503, X1"                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"50" ,"" ,"UTC 11/01/2014 07:20:27.352","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"51" ,"" ,"UTC 11/01/2014 07:20:36.080","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"52" ,"" ,"UTC 11/01/2014 07:21:03.656","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1182, X0"                       ,"Port:  1182"                                                      ,""
"53" ,"" ,"UTC 11/01/2014 07:21:24.416","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"157.55.39.83, 15684, X1"                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"54" ,"" ,"UTC 11/01/2014 07:21:30.608","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"176.102.216.205, 23916, X1"                                 ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"55" ,"" ,"UTC 11/01/2014 07:21:49.752","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"114.97.154.92, 52898, X1"                                   ,"173.240.220.68, 23, X1"                      ,"Telnet"                                                           ,""
"56" ,"" ,"UTC 11/01/2014 07:22:14.176","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                ,"172.30.51.1, 1195, X0"                       ,"Port:  1195"                                                      ,""
"57" ,"" ,"UTC 11/01/2014 07:22:32.464","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 53980, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"58" ,"" ,"UTC 11/01/2014 07:22:32.464","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 53981, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"59" ,"" ,"UTC 11/01/2014 07:22:36.352","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"91.234.27.87, 56190, X1"                                    ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                      ,""
"60" ,"" ,"UTC 11/01/2014 07:23:11.912","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"188.138.9.50, 28693, X1"                                    ,"173.240.220.68, 1471, X1"                    ,"RPC Services"                                                     ,""
