"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                            ,"Destination"                                 ,"Notes"                                ,"Rule"
"121","" ,"UTC 11/01/2014 11:30:29.288","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"122","" ,"UTC 11/01/2014 11:30:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58336, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"123","" ,"UTC 11/01/2014 11:31:17.864","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2541, X0"                       ,"Port:  2541"                          ,""
"124","" ,"UTC 11/01/2014 11:31:37.432","Notice"  ,"Network Access","UDP packet dropped"            ,"95.52.204.135, 58926, X1"                                                          ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"125","" ,"UTC 11/01/2014 11:31:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58350, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"126","" ,"UTC 11/01/2014 11:31:48.624","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"127","" ,"UTC 11/01/2014 11:32:17.864","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2545, X0"                       ,"Port:  2545"                          ,""
"128","" ,"UTC 11/01/2014 11:32:38.384","Notice"  ,"Network Access","UDP packet dropped"            ,"95.52.204.135, 58926, X1"                                                          ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"129","" ,"UTC 11/01/2014 11:32:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58364, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"130","" ,"UTC 11/01/2014 11:33:03.848","Notice"  ,"Network Access","TCP connection dropped"        ,"186.0.202.188, 22540, X1"                                                          ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"131","" ,"UTC 11/01/2014 11:33:08.160","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"132","" ,"UTC 11/01/2014 11:33:18.048","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2552, X0"                       ,"Port:  2552"                          ,""
"133","" ,"UTC 11/01/2014 11:33:43.416","Notice"  ,"Network Access","UDP packet dropped"            ,"95.52.204.135, 58926, X1"                                                          ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
