"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                            ,"Destination"                                 ,"Notes"                                ,"Rule"
"28" ,"" ,"UTC 11/01/2014 11:06:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57924, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"29" ,"" ,"UTC 11/01/2014 11:07:05.192","Notice"  ,"Network Access","UDP packet dropped"            ,"79.2.123.11, 15927, X1, host11-123-dynamic.2-79-r.retail.telecomitalia.it"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"30" ,"" ,"UTC 11/01/2014 11:07:05.448","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"31" ,"" ,"UTC 11/01/2014 11:07:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57939, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"32" ,"" ,"UTC 11/01/2014 11:07:49.304","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                           ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"33" ,"" ,"UTC 11/01/2014 11:07:56.592","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.3.212, 68, X0, sideshow.complab.eng"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"34" ,"" ,"UTC 11/01/2014 11:08:11.848","Notice"  ,"Network Access","UDP packet dropped"            ,"78.37.47.139, 58034, X1, ip78-37-47-139.onego.ru"                                  ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"35" ,"" ,"UTC 11/01/2014 11:08:12.528","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"36" ,"" ,"UTC 11/01/2014 11:08:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57956, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"37" ,"" ,"UTC 11/01/2014 11:08:50.704","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2451, X0"                       ,"Port:  2451"                          ,""
"38" ,"" ,"UTC 11/01/2014 11:09:01.432","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"39" ,"" ,"UTC 11/01/2014 11:09:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57974, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"40" ,"" ,"UTC 11/01/2014 11:09:50.448","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2453, X0"                       ,"Port:  2453"                          ,""
"41" ,"" ,"UTC 11/01/2014 11:10:03.896","Notice"  ,"Network Access","UDP packet dropped"            ,"78.37.47.139, 58034, X1, ip78-37-47-139.onego.ru"                                  ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"42" ,"" ,"UTC 11/01/2014 11:10:21.000","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"43" ,"" ,"UTC 11/01/2014 11:10:40.288","Notice"  ,"Network Access","TCP connection dropped"        ,"220.130.215.134, 32906, X1"                                                        ,"173.240.220.68, 23, X1"                      ,"Telnet"                               ,""
"44" ,"" ,"UTC 11/01/2014 11:10:40.576","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"45" ,"" ,"UTC 11/01/2014 11:10:47.832","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57990, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"46" ,"" ,"UTC 11/01/2014 11:10:50.176","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2458, X0"                       ,"Port:  2458"                          ,""
"47" ,"" ,"UTC 11/01/2014 11:11:23.656","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
