"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"111","" ,"UTC 11/01/2014 08:00:28.528","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"112","" ,"UTC 11/01/2014 08:00:29.528","Notice"  ,"Network Access","UDP packet dropped"                                   ,"62.140.253.23, 65329, X1, 23.fryazino.net"                           ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"113","" ,"UTC 11/01/2014 08:01:02.768","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54722, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"114","" ,"UTC 11/01/2014 08:01:27.672","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1616, X0"                       ,"Port:  1616"                                                                                                             ,""
"115","" ,"UTC 11/01/2014 08:01:29.080","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"116","" ,"UTC 11/01/2014 08:02:07.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54759, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"117","" ,"UTC 11/01/2014 08:02:08.784","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 54130, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"118","" ,"UTC 11/01/2014 08:02:29.528","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1621, X0"                       ,"Port:  1621"                                                                                                             ,""
"119","" ,"UTC 11/01/2014 08:03:07.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54773, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"120","" ,"UTC 11/01/2014 08:03:23.592","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"121","" ,"UTC 11/01/2014 08:03:27.752","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1624, X0"                       ,"Port:  1624"                                                                                                             ,""
"122","" ,"UTC 11/01/2014 08:03:49.656","Notice"  ,"Network Access","UDP packet dropped"                                   ,"83.219.138.158, 31468, X1, cgn-pool-83-219-138-158.tis-dialog.ru"    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"123","" ,"UTC 11/01/2014 08:03:49.672","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1625, X0"                       ,"Port:  1625"                                                                                                             ,""
"124","" ,"UTC 11/01/2014 08:04:02.048","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"125","" ,"UTC 11/01/2014 08:04:07.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54790, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"126","" ,"UTC 11/01/2014 08:04:32.784","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54796, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"127","" ,"UTC 11/01/2014 08:04:55.496","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 58386, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"128","" ,"UTC 11/01/2014 08:04:55.576","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1634, X0"                       ,"Port:  1634"                                                                                                             ,""
"129","" ,"UTC 11/01/2014 08:05:07.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54805, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"130","" ,"UTC 11/01/2014 08:05:16.144","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"131","" ,"UTC 11/01/2014 08:06:07.736","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54821, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"132","" ,"UTC 11/01/2014 08:06:07.752","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1639, X0"                       ,"Port:  1639"                                                                                                             ,""
