"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"26" ,"" ,"UTC 11/01/2014 07:42:43.336","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1395, X0"                       ,"Port:  1395"                                                                                                             ,""
"27" ,"" ,"UTC 11/01/2014 07:42:48.368","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"28" ,"" ,"UTC 11/01/2014 07:43:02.624","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54368, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"29" ,"" ,"UTC 11/01/2014 07:43:19.064","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"30" ,"" ,"UTC 11/01/2014 07:43:44.336","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.129.220.38, 14414, X1"                                             ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"31" ,"" ,"UTC 11/01/2014 07:43:47.640","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1400, X0"                       ,"Port:  1400"                                                                                                             ,""
"32" ,"" ,"UTC 11/01/2014 07:44:02.624","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54382, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"33" ,"" ,"UTC 11/01/2014 07:44:25.400","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"34" ,"" ,"UTC 11/01/2014 07:44:44.144","Notice"  ,"Network Access","UDP packet dropped"                                   ,"99.71.105.206, 45451, X1"                                            ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                             ,""
"35" ,"" ,"UTC 11/01/2014 07:44:45.512","Notice"  ,"Network Access","TCP connection dropped"                               ,"95.245.6.152, 51594, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
