"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                      ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"26" ,"" ,"UTC 11/01/2014 11:40:00.080","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"27" ,"" ,"UTC 11/01/2014 11:40:31.560","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"28" ,"" ,"UTC 11/01/2014 11:40:38.448","Notice"  ,"Network Access","UDP packet dropped"                                   ,"93.190.22.62, 51413, X1"                                     ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"29" ,"" ,"UTC 11/01/2014 11:40:39.224","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2583, X0"                       ,"Port:  2583"                                                                                                           ,""
"30" ,"" ,"UTC 11/01/2014 11:40:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58491, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"31" ,"" ,"UTC 11/01/2014 11:41:06.768","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"32" ,"" ,"UTC 11/01/2014 11:41:41.624","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.4, 53, X1, d.resolvers.level3.net"                     ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"33" ,"" ,"UTC 11/01/2014 11:41:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58508, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"34" ,"" ,"UTC 11/01/2014 11:41:50.880","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"35" ,"" ,"UTC 11/01/2014 11:42:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58527, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"36" ,"" ,"UTC 11/01/2014 11:42:50.160","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2590, X0"                       ,"Port:  2590"                                                                                                           ,""
"37" ,"" ,"UTC 11/01/2014 11:43:08.848","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 47303, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"38" ,"" ,"UTC 11/01/2014 11:43:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58541, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"39" ,"" ,"UTC 11/01/2014 11:43:50.544","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2594, X0"                       ,"Port:  2594"                                                                                                           ,""
"40" ,"" ,"UTC 11/01/2014 11:44:10.624","Notice"  ,"Network Access","UDP packet dropped"                                   ,"199.168.142.7, 5262, X1, mail1.newsofertadodia.com.br"       ,"173.240.220.68, 5060, X1"                    ,"SIP"                                                                                                                   ,""
"41" ,"" ,"UTC 11/01/2014 11:44:25.032","Notice"  ,"Network Access","TCP connection dropped"                               ,"81.167.163.179, 52742, X1, 179.81-167-163.customer.lyse.net" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"42" ,"" ,"UTC 11/01/2014 11:44:25.880","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"43" ,"" ,"UTC 11/01/2014 11:44:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58557, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"44" ,"" ,"UTC 11/01/2014 11:44:50.288","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2597, X0"                       ,"Port:  2597"                                                                                                           ,""
"45" ,"" ,"UTC 11/01/2014 11:45:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58578, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"46" ,"" ,"UTC 11/01/2014 11:45:50.672","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2602, X0"                       ,"Port:  2602"                                                                                                           ,""
"47" ,"" ,"UTC 11/01/2014 11:45:59.096","Notice"  ,"Firewall Event","System time updated based on response from NTP server",""                                                            ,""                                            ,"Received reply from NTP server 208.75.88.4. Update system time from 11/01/2014 04:45:58.240 to 11/01/2014 04:45:59.096",""
"48" ,"" ,"UTC 11/01/2014 11:46:36.704","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 54080, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"49" ,"" ,"UTC 11/01/2014 11:46:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58593, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"50" ,"" ,"UTC 11/01/2014 11:47:07.192","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2609, X0"                       ,"Port:  2609"                                                                                                           ,""
"51" ,"" ,"UTC 11/01/2014 11:47:44.224","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"52" ,"" ,"UTC 11/01/2014 11:47:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58607, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"53" ,"" ,"UTC 11/01/2014 11:48:17.432","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                     ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"54" ,"" ,"UTC 11/01/2014 11:48:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58623, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"55" ,"" ,"UTC 11/01/2014 11:48:52.512","Notice"  ,"Network Access","UDP packet dropped"                                   ,"79.190.117.201, 22248, X1"                                   ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                           ,""
"56" ,"" ,"UTC 11/01/2014 11:48:52.800","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"57" ,"" ,"UTC 11/01/2014 11:49:17.944","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2616, X0"                       ,"Port:  2616"                                                                                                           ,""
"58" ,"" ,"UTC 11/01/2014 11:49:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58637, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"59" ,"" ,"UTC 11/01/2014 11:49:52.480","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"60" ,"" ,"UTC 11/01/2014 11:49:57.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58640, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"61" ,"" ,"UTC 11/01/2014 11:50:04.528","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 51394, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"62" ,"" ,"UTC 11/01/2014 11:50:17.368","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                     ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"63" ,"" ,"UTC 11/01/2014 11:50:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58652, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"64" ,"" ,"UTC 11/01/2014 11:51:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2622, X0"                       ,"Port:  2622"                                                                                                           ,""
"65" ,"" ,"UTC 11/01/2014 11:51:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58668, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"66" ,"" ,"UTC 11/01/2014 11:51:52.864","Notice"  ,"Network Access","UDP packet dropped"                                   ,"94.225.135.58, 60398, X1, 94-225-135-58.access.telenet.be"   ,"173.240.220.68, 23953, X1"                   ,"Port: 23953"                                                                                                           ,""
"67" ,"" ,"UTC 11/01/2014 11:51:53.192","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"68" ,"" ,"UTC 11/01/2014 11:51:53.288","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"69" ,"" ,"UTC 11/01/2014 11:52:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2625, X0"                       ,"Port:  2625"                                                                                                           ,""
"70" ,"" ,"UTC 11/01/2014 11:52:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58685, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"71" ,"" ,"UTC 11/01/2014 11:53:07.272","Notice"  ,"Network Access","UDP packet dropped"                                   ,"88.132.130.193, 44349, X1, host-88-132-130-193.prtelecom.hu" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"72" ,"" ,"UTC 11/01/2014 11:53:07.272","Notice"  ,"Network Access","TCP connection dropped"                               ,"88.132.130.193, 24546, X1, host-88-132-130-193.prtelecom.hu" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"73" ,"" ,"UTC 11/01/2014 11:53:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2628, X0"                       ,"Port:  2628"                                                                                                           ,""
"74" ,"" ,"UTC 11/01/2014 11:53:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58703, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"75" ,"" ,"UTC 11/01/2014 11:54:13.512","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 47435, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"76" ,"" ,"UTC 11/01/2014 11:54:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2633, X0"                       ,"Port:  2633"                                                                                                           ,""
"77" ,"" ,"UTC 11/01/2014 11:54:28.176","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"78" ,"" ,"UTC 11/01/2014 11:54:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58718, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"79" ,"" ,"UTC 11/01/2014 11:55:17.272","Notice"  ,"Network Access","UDP packet dropped"                                   ,"88.132.130.193, 44349, X1, host-88-132-130-193.prtelecom.hu" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"80" ,"" ,"UTC 11/01/2014 11:55:17.272","Notice"  ,"Network Access","TCP connection dropped"                               ,"88.132.130.193, 24709, X1, host-88-132-130-193.prtelecom.hu" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"81" ,"" ,"UTC 11/01/2014 11:55:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2635, X0"                       ,"Port:  2635"                                                                                                           ,""
"82" ,"" ,"UTC 11/01/2014 11:55:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58737, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"83" ,"" ,"UTC 11/01/2014 11:56:12.800","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"84" ,"" ,"UTC 11/01/2014 11:56:18.144","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2638, X0"                       ,"Port:  2638"                                                                                                           ,""
"85" ,"" ,"UTC 11/01/2014 11:56:18.144","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"86" ,"" ,"UTC 11/01/2014 11:56:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58752, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"87" ,"" ,"UTC 11/01/2014 11:57:00.224","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 51481, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"88" ,"" ,"UTC 11/01/2014 11:57:10.704","Info"    ,"Network Access","ICMP packet allowed"                                  ,"198.20.99.130, 5004, X1, census4.shodan.io"                  ,"173.240.220.68, 8, X1"                       ,"Echo, Code:   0"                                                                                                       ,""
"89" ,"" ,"UTC 11/01/2014 11:57:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2643, X0"                       ,"Port:  2643"                                                                                                           ,""
"90" ,"" ,"UTC 11/01/2014 11:57:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58768, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"91" ,"" ,"UTC 11/01/2014 11:58:07.160","Notice"  ,"Network Access","TCP connection dropped"                               ,"222.186.21.48, 6000, X1"                                     ,"173.240.220.68, 3333, X1"                    ,"RPC Services"                                                                                                          ,""
"92" ,"" ,"UTC 11/01/2014 11:58:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2646, X0"                       ,"Port:  2646"                                                                                                           ,""
"93" ,"" ,"UTC 11/01/2014 11:58:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58790, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"94" ,"" ,"UTC 11/01/2014 11:59:18.080","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2648, X0"                       ,"Port:  2648"                                                                                                           ,""
"95" ,"" ,"UTC 11/01/2014 11:59:20.448","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"96" ,"" ,"UTC 11/01/2014 11:59:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58808, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"97" ,"" ,"UTC 11/01/2014 11:59:53.272","Notice"  ,"Network Access","TCP connection dropped"                               ,"88.132.130.193, 24911, X1, host-88-132-130-193.prtelecom.hu" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"98" ,"" ,"UTC 11/01/2014 11:59:53.272","Notice"  ,"Network Access","UDP packet dropped"                                   ,"88.132.130.193, 44349, X1, host-88-132-130-193.prtelecom.hu" ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"99" ,"" ,"UTC 11/01/2014 12:00:17.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2650, X0"                       ,"Port:  2650"                                                                                                           ,""
"100","" ,"UTC 11/01/2014 12:00:25.208","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"101","" ,"UTC 11/01/2014 12:00:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58852, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"102","" ,"UTC 11/01/2014 12:01:09.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 43462, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"103","" ,"UTC 11/01/2014 12:01:27.464","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"104","" ,"UTC 11/01/2014 12:01:45.432","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                     ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"105","" ,"UTC 11/01/2014 12:01:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58912, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"106","" ,"UTC 11/01/2014 12:02:47.512","Notice"  ,"Network Access","Web management request allowed"                       ,"204.212.170.10, 1312, X1, snwlhosted.com"                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"107","" ,"UTC 11/01/2014 12:02:48.192","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"108","" ,"UTC 11/01/2014 12:02:49.704","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2658, X0"                       ,"Port:  2658"                                                                                                           ,""
"109","" ,"UTC 11/01/2014 12:03:47.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58948, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"110","" ,"UTC 11/01/2014 12:03:49.704","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2660, X0"                       ,"Port:  2660"                                                                                                           ,""
"111","" ,"UTC 11/01/2014 12:03:55.864","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 39199, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
"112","" ,"UTC 11/01/2014 12:04:30.448","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"113","" ,"UTC 11/01/2014 12:04:47.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58966, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"114","" ,"UTC 11/01/2014 12:04:49.720","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2664, X0"                       ,"Port:  2664"                                                                                                           ,""
"115","" ,"UTC 11/01/2014 12:04:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 58969, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
