"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                              ,"Destination"                                 ,"Notes"                                ,"Rule"
"28" ,"" ,"UTC 11/01/2014 12:53:17.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59763, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"29" ,"" ,"UTC 11/01/2014 12:53:17.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2854, X0"                       ,"Port:  2854"                          ,""
"30" ,"" ,"UTC 11/01/2014 12:54:17.880","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59781, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"31" ,"" ,"UTC 11/01/2014 12:54:17.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2856, X0"                       ,"Port:  2856"                          ,""
"32" ,"" ,"UTC 11/01/2014 12:54:42.000","Notice"  ,"Network Access","UDP packet dropped"            ,"24.28.185.51, 44140, X1, cpe-24-28-185-51.elp.res.rr.com"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"33" ,"" ,"UTC 11/01/2014 12:54:42.000","Notice"  ,"Network Access","TCP connection dropped"        ,"24.28.185.51, 51527, X1, cpe-24-28-185-51.elp.res.rr.com"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"34" ,"" ,"UTC 11/01/2014 12:54:42.112","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"35" ,"" ,"UTC 11/01/2014 12:55:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59795, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"36" ,"" ,"UTC 11/01/2014 12:55:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2858, X0"                       ,"Port:  2858"                          ,""
"37" ,"" ,"UTC 11/01/2014 12:55:53.320","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 53041, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"38" ,"" ,"UTC 11/01/2014 12:55:53.640","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"39" ,"" ,"UTC 11/01/2014 12:56:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59809, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"40" ,"" ,"UTC 11/01/2014 12:56:17.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2862, X0"                       ,"Port:  2862"                          ,""
"41" ,"" ,"UTC 11/01/2014 12:56:59.784","Notice"  ,"Network Access","TCP connection dropped"        ,"122.225.109.211, 6000, X1"                                           ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"42" ,"" ,"UTC 11/01/2014 12:57:00.112","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"43" ,"" ,"UTC 11/01/2014 12:57:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59824, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"44" ,"" ,"UTC 11/01/2014 12:57:38.880","Notice"  ,"Network Access","UDP packet dropped"            ,"59.91.183.28, 1261, X1"                                              ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"45" ,"" ,"UTC 11/01/2014 12:57:39.192","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2866, X0"                       ,"Port:  2866"                          ,""
"46" ,"" ,"UTC 11/01/2014 12:58:02.240","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"47" ,"" ,"UTC 11/01/2014 12:58:02.720","Notice"  ,"Network Access","TCP connection dropped"        ,"109.175.48.124, 11924, X1"                                           ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"48" ,"" ,"UTC 11/01/2014 12:58:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59838, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"49" ,"" ,"UTC 11/01/2014 12:58:50.144","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2870, X0"                       ,"Port:  2870"                          ,""
"50" ,"" ,"UTC 11/01/2014 12:59:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59891, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"51" ,"" ,"UTC 11/01/2014 12:59:21.144","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 57378, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"52" ,"" ,"UTC 11/01/2014 12:59:34.000","Notice"  ,"Network Access","TCP connection dropped"        ,"24.28.185.51, 52463, X1, cpe-24-28-185-51.elp.res.rr.com"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"53" ,"" ,"UTC 11/01/2014 12:59:50.160","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2874, X0"                       ,"Port:  2874"                          ,""
"54" ,"" ,"UTC 11/01/2014 13:00:17.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59917, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"55" ,"" ,"UTC 11/01/2014 13:00:20.496","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"56" ,"" ,"UTC 11/01/2014 13:00:23.496","Notice"  ,"Network Access","UDP packet dropped"            ,"59.91.183.28, 1323, X1"                                              ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"57" ,"" ,"UTC 11/01/2014 13:00:49.640","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2879, X0"                       ,"Port:  2879"                          ,""
"58" ,"" ,"UTC 11/01/2014 13:01:20.160","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59935, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
