"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                              ,"Destination"                                 ,"Notes"                                ,"Rule"
"121","" ,"UTC 11/01/2014 13:17:34.896","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"122","" ,"UTC 11/01/2014 13:17:35.272","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43958, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"123","" ,"UTC 11/01/2014 13:17:45.816","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"124","" ,"UTC 11/01/2014 13:17:50.288","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2949, X0"                       ,"Port:  2949"                          ,""
"125","" ,"UTC 11/01/2014 13:18:00.096","Notice"  ,"Network Access","TCP connection dropped"        ,"82.224.90.213, 62667, X1, dan75-2-82-224-90-213.fbx.proxad.net"      ,"173.240.220.68, 37899, X1"                   ,"Port: 37899"                          ,""
"126","" ,"UTC 11/01/2014 13:18:35.288","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43974, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"127","" ,"UTC 11/01/2014 13:18:41.400","Notice"  ,"Network Access","UDP packet dropped"            ,"81.159.37.201, 10032, X1"                                            ,"173.240.220.68, 56579, X1"                   ,"Port: 56579"                          ,""
"128","" ,"UTC 11/01/2014 13:18:41.848","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"129","" ,"UTC 11/01/2014 13:18:52.224","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2954, X0"                       ,"Port:  2954"                          ,""
"130","" ,"UTC 11/01/2014 13:19:00.480","Notice"  ,"Network Access","TCP connection dropped"        ,"154.104.148.253, 1176, X1"                                           ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"131","" ,"UTC 11/01/2014 13:19:37.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43989, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"132","" ,"UTC 11/01/2014 13:19:54.144","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"133","" ,"UTC 11/01/2014 13:20:08.016","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 57921, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
