"#"  ," ","Time"                       ,"Priority","Category"        ,"Message"                                              ,"Source"                                                                ,"Destination"                                 ,"Notes"                                                                                                               ,"Rule"
"111","" ,"UTC 11/01/2014 10:53:21.432","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"112","" ,"UTC 11/01/2014 10:53:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57697, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"113","" ,"UTC 11/01/2014 10:54:17.528","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"                     ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                                                                                                         ,""
"114","" ,"UTC 11/01/2014 10:54:17.544","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2392, X0"                       ,"Port:  2392"                                                                                                         ,""
"115","" ,"UTC 11/01/2014 10:54:23.224","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"116","" ,"UTC 11/01/2014 10:54:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57715, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"117","" ,"UTC 11/01/2014 10:54:52.112","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                               ,""
"118","" ,"UTC 11/01/2014 10:55:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2398, X0"                       ,"Port:  2398"                                                                                                         ,""
"119","" ,"UTC 11/01/2014 10:55:20.224","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 47004, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"120","" ,"UTC 11/01/2014 10:55:25.000","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"121","" ,"UTC 11/01/2014 10:55:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57733, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"122","" ,"UTC 11/01/2014 10:56:06.592","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                               ,""
"123","" ,"UTC 11/01/2014 10:56:23.000","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"78.37.47.139, 58034, X1, ip78-37-47-139.onego.ru"                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                         ,""
"124","" ,"UTC 11/01/2014 10:56:23.240","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2403, X0"                       ,"Port:  2403"                                                                                                         ,""
"125","" ,"UTC 11/01/2014 10:56:25.704","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"126","" ,"UTC 11/01/2014 10:56:49.176","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57759, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"127","" ,"UTC 11/01/2014 10:57:27.576","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"128","" ,"UTC 11/01/2014 10:57:34.192","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2406, X0"                       ,"Port:  2406"                                                                                                         ,""
"129","" ,"UTC 11/01/2014 10:57:49.176","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57777, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"130","" ,"UTC 11/01/2014 10:58:00.352","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"87.88.10.117, 51320, X1, per92-h05-87-88-10-117.dsl.sta.abo.bbox.fr"   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                         ,""
"131","" ,"UTC 11/01/2014 10:58:34.192","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2410, X0"                       ,"Port:  2410"                                                                                                         ,""
"132","" ,"UTC 11/01/2014 10:58:36.768","Notice"  ,"Network Access"  ,"TCP connection dropped"                               ,"219.139.20.9, 14664, X1"                                               ,"173.240.220.68, 3389, X1"                    ,"Terminal Services TCP"                                                                                               ,""
"133","" ,"UTC 11/01/2014 10:58:37.048","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                               ,""
