"#"  ," ","Time"                       ,"Priority","Category"        ,"Message"                                              ,"Source"                                                                ,"Destination"                                 ,"Notes"                                                                                                               ,"Rule"
"26" ,"" ,"UTC 11/01/2014 10:30:05.640","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                               ,""
"27" ,"" ,"UTC 11/01/2014 10:30:24.352","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 41237, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"28" ,"" ,"UTC 11/01/2014 10:30:33.944","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57307, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"29" ,"" ,"UTC 11/01/2014 10:31:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2301, X0"                       ,"Port:  2301"                                                                                                         ,""
"30" ,"" ,"UTC 11/01/2014 10:31:20.288","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"31" ,"" ,"UTC 11/01/2014 10:31:34.000","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57322, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"32" ,"" ,"UTC 11/01/2014 10:32:07.864","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 54356, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"33" ,"" ,"UTC 11/01/2014 10:32:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2305, X0"                       ,"Port:  2305"                                                                                                         ,""
"34" ,"" ,"UTC 11/01/2014 10:32:27.736","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"35" ,"" ,"UTC 11/01/2014 10:32:34.000","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57339, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"36" ,"" ,"UTC 11/01/2014 10:32:50.912","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                               ,""
"37" ,"" ,"UTC 11/01/2014 10:33:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2308, X0"                       ,"Port:  2308"                                                                                                         ,""
