"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"107","" ,"UTC 11/01/2014 09:41:54.672","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 34365, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"108","" ,"UTC 11/01/2014 09:42:03.576","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56476, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"109","" ,"UTC 11/01/2014 09:42:05.224","Notice"  ,"Network Access","TCP connection dropped"                               ,"39.50.176.5, 55052, X1"                                                       ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"110","" ,"UTC 11/01/2014 09:42:07.944","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2031, X0"                       ,"Port:  2031"                                                                                                              ,""
"111","" ,"UTC 11/01/2014 09:43:03.576","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56494, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"112","" ,"UTC 11/01/2014 09:43:12.176","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"113","" ,"UTC 11/01/2014 09:43:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2036, X0"                       ,"Port:  2036"                                                                                                              ,""
"114","" ,"UTC 11/01/2014 09:44:03.592","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56508, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"115","" ,"UTC 11/01/2014 09:44:18.032","Notice"  ,"Network Access","UDP packet dropped"                                   ,"89.14.86.140, 41653, X1, x590e568c.dyn.telefonica.de"                         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"116","" ,"UTC 11/01/2014 09:44:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2039, X0"                       ,"Port:  2039"                                                                                                              ,""
"117","" ,"UTC 11/01/2014 09:45:03.592","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56525, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"118","" ,"UTC 11/01/2014 09:45:22.528","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 43080, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"119","" ,"UTC 11/01/2014 09:45:24.240","Notice"  ,"Firewall Event","System time updated based on response from NTP server",""                                                                             ,""                                            ,"Received reply from NTP server 207.192.73.151. Update system time from 11/01/2014 02:45:23.560 to 11/01/2014 02:45:24.240",""
"120","" ,"UTC 11/01/2014 09:45:42.416","Notice"  ,"Network Access","TCP connection dropped"                               ,"195.211.78.251, 64995, X1, 195.211.78.251.lantek.ru"                          ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"121","" ,"UTC 11/01/2014 09:45:56.144","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2046, X0"                       ,"Port:  2046"                                                                                                              ,""
"122","" ,"UTC 11/01/2014 09:46:03.608","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56539, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"123","" ,"UTC 11/01/2014 09:46:03.656","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 49920, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"124","" ,"UTC 11/01/2014 09:46:23.432","Notice"  ,"Network Access","UDP packet dropped"                                   ,"122.170.30.247, 11910, X1, abts-mum-dynamic-247.30.170.122.airtelbroadband.in","173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"125","" ,"UTC 11/01/2014 09:46:23.832","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"126","" ,"UTC 11/01/2014 09:46:57.640","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"127","" ,"UTC 11/01/2014 09:47:03.608","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56553, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"128","" ,"UTC 11/01/2014 09:47:07.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2052, X0"                       ,"Port:  2052"                                                                                                              ,""
"129","" ,"UTC 11/01/2014 09:48:03.624","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56571, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"130","" ,"UTC 11/01/2014 09:48:15.208","Notice"  ,"Network Access","UDP packet dropped"                                   ,"89.14.86.140, 41653, X1, x590e568c.dyn.telefonica.de"                         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"131","" ,"UTC 11/01/2014 09:48:19.672","Notice"  ,"Network Access","TCP connection dropped"                               ,"89.14.86.140, 49326, X1, x590e568c.dyn.telefonica.de"                         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"132","" ,"UTC 11/01/2014 09:48:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2056, X0"                       ,"Port:  2056"                                                                                                              ,""
"133","" ,"UTC 11/01/2014 09:48:37.400","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
