"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"26" ,"" ,"UTC 11/01/2014 09:20:03.416","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56076, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"27" ,"" ,"UTC 11/01/2014 09:20:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 1944, X0"                       ,"Port:  1944"                                                                                                              ,""
"28" ,"" ,"UTC 11/01/2014 09:20:38.848","Notice"  ,"Network Access","UDP packet dropped"                                   ,"195.211.78.251, 29175, X1, 195.211.78.251.lantek.ru"                          ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"29" ,"" ,"UTC 11/01/2014 09:20:39.512","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"30" ,"" ,"UTC 11/01/2014 09:21:03.416","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56091, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"31" ,"" ,"UTC 11/01/2014 09:21:17.848","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"32" ,"" ,"UTC 11/01/2014 09:21:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1949, X0"                       ,"Port:  1949"                                                                                                              ,""
"33" ,"" ,"UTC 11/01/2014 09:21:45.624","Notice"  ,"Network Access","TCP connection dropped"                               ,"5.199.223.237, 52683, X1, 5-199-223-237.k-telecom.org"                        ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"34" ,"" ,"UTC 11/01/2014 09:21:45.624","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.199.223.237, 43317, X1, 5-199-223-237.k-telecom.org"                        ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"35" ,"" ,"UTC 11/01/2014 09:22:03.432","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56110, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"36" ,"" ,"UTC 11/01/2014 09:22:17.384","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"37" ,"" ,"UTC 11/01/2014 09:22:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 1953, X0"                       ,"Port:  1953"                                                                                                              ,""
"38" ,"" ,"UTC 11/01/2014 09:23:03.448","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56133, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"39" ,"" ,"UTC 11/01/2014 09:23:07.624","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"40" ,"" ,"UTC 11/01/2014 09:23:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1955, X0"                       ,"Port:  1955"                                                                                                              ,""
