"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                        ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"111","" ,"UTC 11/01/2014 09:07:07.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1896, X0"                       ,"Port:  1896"                                                                                                             ,""
"112","" ,"UTC 11/01/2014 09:07:16.256","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 59015, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"113","" ,"UTC 11/01/2014 09:07:59.752","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"114","" ,"UTC 11/01/2014 09:08:03.320","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55870, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"115","" ,"UTC 11/01/2014 09:08:07.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                 ,"172.30.51.1, 1901, X0"                       ,"Port:  1901"                                                                                                             ,""
"116","" ,"UTC 11/01/2014 09:09:03.336","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55888, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"117","" ,"UTC 11/01/2014 09:09:07.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                    ,"172.30.51.1, 1903, X0"                       ,"Port:  1903"                                                                                                             ,""
"118","" ,"UTC 11/01/2014 09:09:15.336","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"119","" ,"UTC 11/01/2014 09:10:03.336","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55903, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"120","" ,"UTC 11/01/2014 09:10:08.112","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1905, X0"                       ,"Port:  1905"                                                                                                             ,""
"121","" ,"UTC 11/01/2014 09:10:08.112","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"122","" ,"UTC 11/01/2014 09:10:08.400","Notice"  ,"Network Access","TCP connection dropped"                               ,"180.151.42.74, 51635, X1"                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"123","" ,"UTC 11/01/2014 09:10:08.448","Notice"  ,"Network Access","UDP packet dropped"                                   ,"180.151.42.74, 44459, X1"                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"124","" ,"UTC 11/01/2014 09:10:17.464","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"125","" ,"UTC 11/01/2014 09:11:03.336","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55920, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"126","" ,"UTC 11/01/2014 09:11:23.608","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                           ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"127","" ,"UTC 11/01/2014 09:11:25.272","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 60119, X1"                                     ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                          ,""
"128","" ,"UTC 11/01/2014 09:11:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1911, X0"                       ,"Port:  1911"                                                                                                             ,""
"129","" ,"UTC 11/01/2014 09:12:03.352","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55942, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"130","" ,"UTC 11/01/2014 09:12:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                   ,"172.30.51.1, 1914, X0"                       ,"Port:  1914"                                                                                                             ,""
"131","" ,"UTC 11/01/2014 09:12:39.832","Notice"  ,"Network Access","UDP packet dropped"                                   ,"176.49.185.234, 26872, X1"                                     ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                             ,""
"132","" ,"UTC 11/01/2014 09:12:40.144","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                            ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"133","" ,"UTC 11/01/2014 09:13:03.352","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 55960, X1"                                     ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
