"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"113","" ,"UTC 11/01/2014 13:50:27.432","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 3075, X0"                       ,"Port:  3075"                                                                                                           ,""
"114","" ,"UTC 11/01/2014 13:50:27.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44488, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"115","" ,"UTC 11/01/2014 13:50:37.576","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.105.8.139, 1157, X1, 95.105.8.139.dynamic.ufanet.ru"              ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"116","" ,"UTC 11/01/2014 13:50:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44494, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"117","" ,"UTC 11/01/2014 13:51:26.400","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3080, X0"                       ,"Port:  3080"                                                                                                           ,""
"118","" ,"UTC 11/01/2014 13:51:42.480","Notice"  ,"Network Access","UDP packet dropped"                                   ,"36.68.106.136, 1056, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"119","" ,"UTC 11/01/2014 13:51:45.416","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"120","" ,"UTC 11/01/2014 13:51:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44512, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"121","" ,"UTC 11/01/2014 13:51:51.576","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"122","" ,"UTC 11/01/2014 13:52:20.432","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"123","" ,"UTC 11/01/2014 13:52:33.768","Notice"  ,"Network Access","TCP connection dropped"                               ,"91.120.93.87, 54287, X1, r2ur2xpq96.adsl.datanet.hu"                 ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                           ,""
"124","" ,"UTC 11/01/2014 13:52:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44528, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"125","" ,"UTC 11/01/2014 13:52:50.560","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3086, X0"                       ,"Port:  3086"                                                                                                           ,""
"126","" ,"UTC 11/01/2014 13:53:13.336","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.87.42.196, 35691, X1, 196.42.87.109.triolan.net"                 ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"127","" ,"UTC 11/01/2014 13:53:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44543, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"128","" ,"UTC 11/01/2014 13:53:50.576","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3089, X0"                       ,"Port:  3089"                                                                                                           ,""
"129","" ,"UTC 11/01/2014 13:53:55.496","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"130","" ,"UTC 11/01/2014 13:54:38.288","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.87.42.196, 35691, X1, 196.42.87.109.triolan.net"                 ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"131","" ,"UTC 11/01/2014 13:54:45.096","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"132","" ,"UTC 11/01/2014 13:54:47.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44563, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
