"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"26" ,"" ,"UTC 11/01/2014 13:26:55.784","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"27" ,"" ,"UTC 11/01/2014 13:27:04.784","Notice"  ,"Network Access","TCP connection dropped"                               ,"151.41.43.46, 58790, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"28" ,"" ,"UTC 11/01/2014 13:27:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44140, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"29" ,"" ,"UTC 11/01/2014 13:28:06.560","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                             ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                           ,""
"30" ,"" ,"UTC 11/01/2014 13:28:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44155, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"31" ,"" ,"UTC 11/01/2014 13:29:06.224","Notice"  ,"Network Access","UDP packet dropped"                                   ,"88.132.130.193, 44349, X1, host-88-132-130-193.prtelecom.hu"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"32" ,"" ,"UTC 11/01/2014 13:29:06.560","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"33" ,"" ,"UTC 11/01/2014 13:29:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2992, X0"                       ,"Port:  2992"                                                                                                           ,""
"34" ,"" ,"UTC 11/01/2014 13:29:44.064","Notice"  ,"Network Access","TCP connection dropped"                               ,"36.68.106.136, 2398, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"35" ,"" ,"UTC 11/01/2014 13:29:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44171, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"36" ,"" ,"UTC 11/01/2014 13:30:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2996, X0"                       ,"Port:  2996"                                                                                                           ,""
"37" ,"" ,"UTC 11/01/2014 13:30:26.256","Notice"  ,"Network Access","UDP packet dropped"                                   ,"88.132.130.193, 44349, X1, host-88-132-130-193.prtelecom.hu"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"38" ,"" ,"UTC 11/01/2014 13:30:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44188, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"39" ,"" ,"UTC 11/01/2014 13:30:55.080","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"40" ,"" ,"UTC 11/01/2014 13:31:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 3002, X0"                       ,"Port:  3002"                                                                                                           ,""
"41" ,"" ,"UTC 11/01/2014 13:31:45.016","Notice"  ,"Network Access","UDP packet dropped"                                   ,"87.228.51.111, 43409, X1"                                            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"42" ,"" ,"UTC 11/01/2014 13:31:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44204, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"43" ,"" ,"UTC 11/01/2014 13:31:49.080","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"44" ,"" ,"UTC 11/01/2014 13:31:51.256","Notice"  ,"Network Access","TCP connection dropped"                               ,"88.132.130.193, 28895, X1, host-88-132-130-193.prtelecom.hu"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"45" ,"" ,"UTC 11/01/2014 13:32:15.864","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"46" ,"" ,"UTC 11/01/2014 13:32:18.048","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3007, X0"                       ,"Port:  3007"                                                                                                           ,""
"47" ,"" ,"UTC 11/01/2014 13:32:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44219, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"48" ,"" ,"UTC 11/01/2014 13:33:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 3010, X0"                       ,"Port:  3010"                                                                                                           ,""
"49" ,"" ,"UTC 11/01/2014 13:33:35.064","Notice"  ,"Network Access","TCP connection dropped"                               ,"193.50.27.70, 44672, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"50" ,"" ,"UTC 11/01/2014 13:33:35.432","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                 ,""
"51" ,"" ,"UTC 11/01/2014 13:33:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44233, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"52" ,"" ,"UTC 11/01/2014 13:33:50.224","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 49601, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                        ,""
