"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                      ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"27" ,"" ,"UTC 11/01/2014 12:17:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59188, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"28" ,"" ,"UTC 11/01/2014 12:18:23.832","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"29" ,"" ,"UTC 11/01/2014 12:18:49.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2710, X0"                       ,"Port:  2710"                                                                                                              ,""
"30" ,"" ,"UTC 11/01/2014 12:18:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59204, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"31" ,"" ,"UTC 11/01/2014 12:19:01.048","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 59671, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"32" ,"" ,"UTC 11/01/2014 12:19:31.224","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"33" ,"" ,"UTC 11/01/2014 12:19:49.832","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2715, X0"                       ,"Port:  2715"                                                                                                              ,""
"34" ,"" ,"UTC 11/01/2014 12:19:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59221, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"35" ,"" ,"UTC 11/01/2014 12:20:04.816","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59222, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"36" ,"" ,"UTC 11/01/2014 12:20:17.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2716, X0"                       ,"Port:  2716"                                                                                                              ,""
"37" ,"" ,"UTC 11/01/2014 12:20:38.448","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"38" ,"" ,"UTC 11/01/2014 12:20:49.832","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2718, X0"                       ,"Port:  2718"                                                                                                              ,""
"39" ,"" ,"UTC 11/01/2014 12:20:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59235, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"40" ,"" ,"UTC 11/01/2014 12:21:15.064","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 56938, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"41" ,"" ,"UTC 11/01/2014 12:21:44.304","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"42" ,"" ,"UTC 11/01/2014 12:21:57.480","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                     ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                              ,""
"43" ,"" ,"UTC 11/01/2014 12:21:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59255, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"44" ,"" ,"UTC 11/01/2014 12:22:00.016","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"45" ,"" ,"UTC 11/01/2014 12:22:16.128","Notice"  ,"Network Access","UDP packet dropped"                                   ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"           ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                                                                                                              ,""
"46" ,"" ,"UTC 11/01/2014 12:22:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59274, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"47" ,"" ,"UTC 11/01/2014 12:23:17.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2728, X0"                       ,"Port:  2728"                                                                                                              ,""
"48" ,"" ,"UTC 11/01/2014 12:23:27.576","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"49" ,"" ,"UTC 11/01/2014 12:23:30.624","Notice"  ,"Network Access","UDP packet dropped"                                   ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"           ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                                                                                                              ,""
"50" ,"" ,"UTC 11/01/2014 12:23:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59292, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"51" ,"" ,"UTC 11/01/2014 12:24:17.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"               ,"172.30.51.1, 2731, X0"                       ,"Port:  2731"                                                                                                              ,""
"52" ,"" ,"UTC 11/01/2014 12:24:35.016","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"53" ,"" ,"UTC 11/01/2014 12:24:42.864","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 32775, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"54" ,"" ,"UTC 11/01/2014 12:24:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59309, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"55" ,"" ,"UTC 11/01/2014 12:25:18.080","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2736, X0"                       ,"Port:  2736"                                                                                                              ,""
"56" ,"" ,"UTC 11/01/2014 12:25:51.560","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"57" ,"" ,"UTC 11/01/2014 12:25:56.032","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.18.142.152, 56896, X1"                                     ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"58" ,"" ,"UTC 11/01/2014 12:25:57.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59325, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"59" ,"" ,"UTC 11/01/2014 12:26:06.560","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"60" ,"" ,"UTC 11/01/2014 12:26:49.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2742, X0"                       ,"Port:  2742"                                                                                                              ,""
"61" ,"" ,"UTC 11/01/2014 12:27:04.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59342, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"62" ,"" ,"UTC 11/01/2014 12:27:04.864","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59341, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"63" ,"" ,"UTC 11/01/2014 12:27:05.048","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.252.74.15, 16381, X1"                                    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"64" ,"" ,"UTC 11/01/2014 12:27:49.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2747, X0"                       ,"Port:  2747"                                                                                                              ,""
"65" ,"" ,"UTC 11/01/2014 12:28:04.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59357, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"66" ,"" ,"UTC 11/01/2014 12:28:10.704","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 39851, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"67" ,"" ,"UTC 11/01/2014 12:28:49.896","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2751, X0"                       ,"Port:  2751"                                                                                                              ,""
"68" ,"" ,"UTC 11/01/2014 12:29:04.880","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59374, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"69" ,"" ,"UTC 11/01/2014 12:29:15.336","Info"    ,"Network Access","ICMP packet allowed"                                  ,"183.61.224.148, 16605, X1"                                   ,"173.240.220.68, 8, X1"                       ,"Echo, Code:   0"                                                                                                          ,""
"70" ,"" ,"UTC 11/01/2014 12:29:15.880","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"71" ,"" ,"UTC 11/01/2014 12:29:26.336","Notice"  ,"Network Access","UDP packet dropped"                                   ,"94.59.17.2, 48036, X1"                                       ,"173.240.220.68, 2061, X1"                    ,"Port:  2061"                                                                                                              ,""
"72" ,"" ,"UTC 11/01/2014 12:29:29.144","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"73" ,"" ,"UTC 11/01/2014 12:29:49.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2757, X0"                       ,"Port:  2757"                                                                                                              ,""
"74" ,"" ,"UTC 11/01/2014 12:30:04.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59389, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"75" ,"" ,"UTC 11/01/2014 12:30:37.704","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"76" ,"" ,"UTC 11/01/2014 12:30:49.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2759, X0"                       ,"Port:  2759"                                                                                                              ,""
"77" ,"" ,"UTC 11/01/2014 12:30:55.640","Notice"  ,"Network Access","UDP packet dropped"                                   ,"151.15.32.42, 53824, X1, ppp-42-32.15-151.iol.it"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"78" ,"" ,"UTC 11/01/2014 12:31:04.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59408, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"79" ,"" ,"UTC 11/01/2014 12:31:42.784","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"80" ,"" ,"UTC 11/01/2014 12:31:49.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2766, X0"                       ,"Port:  2766"                                                                                                              ,""
"81" ,"" ,"UTC 11/01/2014 12:32:04.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59427, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"82" ,"" ,"UTC 11/01/2014 12:32:13.320","Notice"  ,"Network Access","TCP connection dropped"                               ,"123.4.129.71, 4329, X1"                                      ,"173.240.220.68, 23, X1"                      ,"Telnet"                                                                                                                   ,""
"83" ,"" ,"UTC 11/01/2014 12:32:13.608","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"84" ,"" ,"UTC 11/01/2014 12:32:19.688","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 52924, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
