"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                      ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"109","" ,"UTC 11/01/2014 12:40:17.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2792, X0"                       ,"Port:  2792"                                                                                                              ,""
"110","" ,"UTC 11/01/2014 12:40:20.112","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.252.74.15, 16381, X1"                                    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"111","" ,"UTC 11/01/2014 12:40:42.848","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"112","" ,"UTC 11/01/2014 12:40:43.112","Notice"  ,"Network Access","TCP connection dropped"                               ,"109.252.74.15, 14963, X1"                                    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"113","" ,"UTC 11/01/2014 12:41:05.016","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59574, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"114","" ,"UTC 11/01/2014 12:41:18.400","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"115","" ,"UTC 11/01/2014 12:41:42.720","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                     ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                              ,""
"116","" ,"UTC 11/01/2014 12:42:02.064","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 41513, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"117","" ,"UTC 11/01/2014 12:42:04.528","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"118","" ,"UTC 11/01/2014 12:42:07.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59590, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"119","" ,"UTC 11/01/2014 12:42:49.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2808, X0"                       ,"Port:  2808"                                                                                                              ,""
"120","" ,"UTC 11/01/2014 12:43:07.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59604, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"121","" ,"UTC 11/01/2014 12:43:09.880","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"122","" ,"UTC 11/01/2014 12:43:19.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"81.170.90.14, 31031, X1, 81-170-90-14.dynamic.dsl.as9105.com","173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                              ,""
"123","" ,"UTC 11/01/2014 12:43:50.048","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2810, X0"                       ,"Port:  2810"                                                                                                              ,""
"124","" ,"UTC 11/01/2014 12:44:07.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59623, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"125","" ,"UTC 11/01/2014 12:44:39.544","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"126","" ,"UTC 11/01/2014 12:44:50.064","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2813, X0"                       ,"Port:  2813"                                                                                                              ,""
"127","" ,"UTC 11/01/2014 12:45:01.112","Notice"  ,"Network Access","UDP packet dropped"                                   ,"109.252.74.15, 16381, X1"                                    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"128","" ,"UTC 11/01/2014 12:45:01.384","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                          ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"129","" ,"UTC 11/01/2014 12:45:07.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59640, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"130","" ,"UTC 11/01/2014 12:45:35.096","Notice"  ,"Network Access","TCP connection dropped"                               ,"109.252.74.15, 10027, X1"                                    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"131","" ,"UTC 11/01/2014 12:45:50.064","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2819, X0"                       ,"Port:  2819"                                                                                                              ,""
"132","" ,"UTC 11/01/2014 12:46:07.896","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59656, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"133","" ,"UTC 11/01/2014 12:46:11.032","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 57666, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"134","" ,"UTC 11/01/2014 12:46:16.608","Notice"  ,"Firewall Event","System time updated based on response from NTP server",""                                                            ,""                                            ,"Received reply from NTP server 216.119.147.47. Update system time from 11/01/2014 05:46:16.496 to 11/01/2014 05:46:16.592",""
