"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                          ,"Destination"                                 ,"Notes"                                ,"Rule"
"118","" ,"UTC 11/01/2014 08:35:54.448","Notice"  ,"Network Access","TCP connection dropped"        ,"66.240.236.119, 17465, X1, census6.shodan.io"                    ,"173.240.220.68, 44818, X1"                   ,"Port: 44818"                          ,""
"119","" ,"UTC 11/01/2014 08:36:33.080","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55343, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"120","" ,"UTC 11/01/2014 08:36:34.576","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"121","" ,"UTC 11/01/2014 08:36:35.208","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                         ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"122","" ,"UTC 11/01/2014 08:37:27.144","Notice"  ,"Network Access","UDP packet dropped"            ,"121.6.76.13, 32874, X1, bb121-6-76-13.singnet.com.sg"            ,"173.240.220.68, 27630, X1"                   ,"Port: 27630"                          ,""
"123","" ,"UTC 11/01/2014 08:37:37.448","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                         ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"124","" ,"UTC 11/01/2014 08:37:37.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55364, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"125","" ,"UTC 11/01/2014 08:38:22.032","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"126","" ,"UTC 11/01/2014 08:38:35.800","Notice"  ,"Network Access","UDP packet dropped"            ,"186.95.47.127, 34687, X1, 186-95-47-127.genericrev.cantv.net"    ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"127","" ,"UTC 11/01/2014 08:38:37.368","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1777, X0"                       ,"Port:  1777"                          ,""
"128","" ,"UTC 11/01/2014 08:38:37.368","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"129","" ,"UTC 11/01/2014 08:38:37.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55384, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"130","" ,"UTC 11/01/2014 08:39:37.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55399, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"131","" ,"UTC 11/01/2014 08:39:41.544","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"132","" ,"UTC 11/01/2014 08:40:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1784, X0"                       ,"Port:  1784"                          ,""
