"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                          ,"Destination"                                 ,"Notes"                                ,"Rule"
"28" ,"" ,"UTC 11/01/2014 08:13:03.528","Notice"  ,"Network Access","TCP connection dropped"        ,"121.56.219.149, 6000, X1"                                        ,"173.240.220.68, 21320, X1"                   ,"Port: 21320"                          ,""
"29" ,"" ,"UTC 11/01/2014 08:13:04.544","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"30" ,"" ,"UTC 11/01/2014 08:13:10.800","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 56386, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"31" ,"" ,"UTC 11/01/2014 08:13:17.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54957, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"32" ,"" ,"UTC 11/01/2014 08:13:25.848","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"33" ,"" ,"UTC 11/01/2014 08:13:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1673, X0"                       ,"Port:  1673"                          ,""
"34" ,"" ,"UTC 11/01/2014 08:14:17.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54975, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"35" ,"" ,"UTC 11/01/2014 08:14:27.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1675, X0"                       ,"Port:  1675"                          ,""
"36" ,"" ,"UTC 11/01/2014 08:15:17.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 54989, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"37" ,"" ,"UTC 11/01/2014 08:15:19.016","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 50460, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"38" ,"" ,"UTC 11/01/2014 08:15:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1680, X0"                       ,"Port:  1680"                          ,""
"39" ,"" ,"UTC 11/01/2014 08:16:17.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55006, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"40" ,"" ,"UTC 11/01/2014 08:16:20.864","Notice"  ,"Network Access","UDP packet dropped"            ,"92.6.98.139, 15491, X1, host-92-6-98-139.as43234.net"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"41" ,"" ,"UTC 11/01/2014 08:16:20.864","Notice"  ,"Network Access","TCP connection dropped"        ,"92.6.98.139, 55145, X1, host-92-6-98-139.as43234.net"            ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"42" ,"" ,"UTC 11/01/2014 08:16:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1682, X0"                       ,"Port:  1682"                          ,""
"43" ,"" ,"UTC 11/01/2014 08:16:53.160","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"44" ,"" ,"UTC 11/01/2014 08:17:17.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55025, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"45" ,"" ,"UTC 11/01/2014 08:17:32.352","Notice"  ,"Network Access","TCP connection dropped"        ,"46.147.135.121, 57595, X1, net135.79.95-121.izhevsk.ertelecom.ru","173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"46" ,"" ,"UTC 11/01/2014 08:17:32.624","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1686, X0"                       ,"Port:  1686"                          ,""
"47" ,"" ,"UTC 11/01/2014 08:17:32.624","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"48" ,"" ,"UTC 11/01/2014 08:17:40.256","Notice"  ,"Network Access","UDP packet dropped"            ,"151.249.145.195, 25783, X1"                                      ,"173.240.220.68, 33860, X1"                   ,"Port: 33860"                          ,""
"49" ,"" ,"UTC 11/01/2014 08:17:57.512","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"50" ,"" ,"UTC 11/01/2014 08:18:17.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55040, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"51" ,"" ,"UTC 11/01/2014 08:18:46.816","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 54911, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"52" ,"" ,"UTC 11/01/2014 08:18:46.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1691, X0"                       ,"Port:  1691"                          ,""
"53" ,"" ,"UTC 11/01/2014 08:19:03.720","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"54" ,"" ,"UTC 11/01/2014 08:19:06.384","Notice"  ,"Network Access","TCP connection dropped"        ,"46.147.135.121, 58382, X1, net135.79.95-121.izhevsk.ertelecom.ru","173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"55" ,"" ,"UTC 11/01/2014 08:19:06.656","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"56" ,"" ,"UTC 11/01/2014 08:19:17.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55056, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"57" ,"" ,"UTC 11/01/2014 08:19:34.288","Notice"  ,"Network Access","Web management request allowed","204.212.170.10, 62911, X1, snwlhosted.com"                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"58" ,"" ,"UTC 11/01/2014 08:20:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1699, X0"                       ,"Port:  1699"                          ,""
"59" ,"" ,"UTC 11/01/2014 08:20:21.432","Notice"  ,"Network Access","Web management request allowed","204.212.170.10, 12259, X1, snwlhosted.com"                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"60" ,"" ,"UTC 11/01/2014 08:20:29.288","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"61" ,"" ,"UTC 11/01/2014 08:21:00.736","Notice"  ,"Network Access","UDP packet dropped"            ,"5.55.158.47, 31996, X1, ppp005055158047.access.hol.gr"           ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"62" ,"" ,"UTC 11/01/2014 08:21:07.848","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1703, X0"                       ,"Port:  1703"                          ,""
"63" ,"" ,"UTC 11/01/2014 08:21:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55088, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"64" ,"" ,"UTC 11/01/2014 08:21:33.592","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"65" ,"" ,"UTC 11/01/2014 08:22:00.800","Notice"  ,"Network Access","UDP packet dropped"            ,"5.55.158.47, 31991, X1, ppp005055158047.access.hol.gr"           ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"66" ,"" ,"UTC 11/01/2014 08:22:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1706, X0"                       ,"Port:  1706"                          ,""
"67" ,"" ,"UTC 11/01/2014 08:22:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55112, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"68" ,"" ,"UTC 11/01/2014 08:23:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1710, X0"                       ,"Port:  1710"                          ,""
"69" ,"" ,"UTC 11/01/2014 08:23:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55127, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"70" ,"" ,"UTC 11/01/2014 08:23:28.160","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"71" ,"" ,"UTC 11/01/2014 08:23:46.624","Notice"  ,"Network Access","UDP packet dropped"            ,"107.184.84.105, 25765, X1, cpe-107-184-84-105.socal.res.rr.com"  ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"72" ,"" ,"UTC 11/01/2014 08:23:51.352","Notice"  ,"Network Access","TCP connection dropped"        ,"46.147.135.121, 60187, X1, net135.79.95-121.izhevsk.ertelecom.ru","173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"73" ,"" ,"UTC 11/01/2014 08:24:02.032","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"74" ,"" ,"UTC 11/01/2014 08:24:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1716, X0"                       ,"Port:  1716"                          ,""
"75" ,"" ,"UTC 11/01/2014 08:24:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55145, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"76" ,"" ,"UTC 11/01/2014 08:25:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1719, X0"                       ,"H323 Gatekeeper RAS"                  ,""
"77" ,"" ,"UTC 11/01/2014 08:25:24.096","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"78" ,"" ,"UTC 11/01/2014 08:25:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55163, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
