"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                ,"Rule"
"28" ,"" ,"UTC 11/01/2014 09:55:07.800","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56703, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"29" ,"" ,"UTC 11/01/2014 09:55:26.272","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"30" ,"" ,"UTC 11/01/2014 09:55:27.816","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2083, X0"                       ,"Port:  2083"                          ,""
"31" ,"" ,"UTC 11/01/2014 09:56:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56721, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"32" ,"" ,"UTC 11/01/2014 09:56:27.176","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 58062, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"33" ,"" ,"UTC 11/01/2014 09:56:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2089, X0"                       ,"Port:  2089"                          ,""
"34" ,"" ,"UTC 11/01/2014 09:56:40.320","Notice"  ,"Network Access","TCP connection dropped"        ,"210.211.31.202, 33198, X1"                                                    ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"35" ,"" ,"UTC 11/01/2014 09:56:44.512","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"36" ,"" ,"UTC 11/01/2014 09:57:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56737, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"37" ,"" ,"UTC 11/01/2014 09:57:08.416","Notice"  ,"Network Access","TCP connection dropped"        ,"37.146.133.188, 2343, X1, 37-146-133-188.broadband.corbina.ru"                ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"38" ,"" ,"UTC 11/01/2014 09:57:15.816","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"39" ,"" ,"UTC 11/01/2014 09:57:27.896","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2094, X0"                       ,"Port:  2094"                          ,""
"40" ,"" ,"UTC 11/01/2014 09:58:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56754, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"41" ,"" ,"UTC 11/01/2014 09:58:20.576","Notice"  ,"Network Access","TCP connection dropped"        ,"122.170.30.247, 13997, X1, abts-mum-dynamic-247.30.170.122.airtelbroadband.in","173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"42" ,"" ,"UTC 11/01/2014 09:58:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2097, X0"                       ,"Port:  2097"                          ,""
"43" ,"" ,"UTC 11/01/2014 09:58:43.416","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"44" ,"" ,"UTC 11/01/2014 09:59:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56777, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"45" ,"" ,"UTC 11/01/2014 09:59:13.848","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 36500, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"46" ,"" ,"UTC 11/01/2014 09:59:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2101, X0"                       ,"Port:  2101"                          ,""
"47" ,"" ,"UTC 11/01/2014 09:59:49.032","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"48" ,"" ,"UTC 11/01/2014 10:00:07.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56800, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"49" ,"" ,"UTC 11/01/2014 10:00:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2104, X0"                       ,"Port:  2104"                          ,""
"50" ,"" ,"UTC 11/01/2014 10:01:03.576","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"51" ,"" ,"UTC 11/01/2014 10:01:11.064","Notice"  ,"Network Access","UDP packet dropped"            ,"89.147.74.27, 60343, X1, ip59934a1b.rubicom.hu"                               ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"52" ,"" ,"UTC 11/01/2014 10:01:11.464","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"53" ,"" ,"UTC 11/01/2014 10:01:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56815, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"54" ,"" ,"UTC 11/01/2014 10:01:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2108, X0"                       ,"Port:  2108"                          ,""
"55" ,"" ,"UTC 11/01/2014 10:01:53.352","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"56" ,"" ,"UTC 11/01/2014 10:02:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56830, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"57" ,"" ,"UTC 11/01/2014 10:02:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2111, X0"                       ,"Port:  2111"                          ,""
"58" ,"" ,"UTC 11/01/2014 10:02:41.688","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 35767, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"59" ,"" ,"UTC 11/01/2014 10:03:17.592","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"60" ,"" ,"UTC 11/01/2014 10:03:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56846, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"61" ,"" ,"UTC 11/01/2014 10:03:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2116, X0"                       ,"Port:  2116"                          ,""
"62" ,"" ,"UTC 11/01/2014 10:03:29.368","Notice"  ,"Network Access","TCP connection dropped"        ,"195.211.78.251, 54933, X1, 195.211.78.251.lantek.ru"                          ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"63" ,"" ,"UTC 11/01/2014 10:03:52.128","Notice"  ,"Network Access","UDP packet dropped"            ,"82.233.32.159, 62812, X1, sto95-1-82-233-32-159.fbx.proxad.net"               ,"173.240.220.68, 14776, X1"                   ,"Port: 14776"                          ,""
"64" ,"" ,"UTC 11/01/2014 10:03:52.464","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"65" ,"" ,"UTC 11/01/2014 10:04:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56861, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"66" ,"" ,"UTC 11/01/2014 10:04:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2120, X0"                       ,"Port:  2120"                          ,""
"67" ,"" ,"UTC 11/01/2014 10:04:33.736","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56868, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"68" ,"" ,"UTC 11/01/2014 10:05:04.384","Notice"  ,"Network Access","TCP connection dropped"        ,"37.146.133.188, 2589, X1, 37-146-133-188.broadband.corbina.ru"                ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"69" ,"" ,"UTC 11/01/2014 10:05:16.336","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"70" ,"" ,"UTC 11/01/2014 10:05:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56878, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"71" ,"" ,"UTC 11/01/2014 10:05:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2122, X0"                       ,"Port:  2122"                          ,""
"72" ,"" ,"UTC 11/01/2014 10:05:28.752","Notice"  ,"Network Access","UDP packet dropped"            ,"77.101.15.217, 39284, X1, cpc69901-sand13-2-0-cust472.16-1.cable.virginm.net" ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"73" ,"" ,"UTC 11/01/2014 10:06:09.592","Notice"  ,"Network Access","TCP connection dropped"        ,"66.240.192.138, 6865, X1, census8.shodan.io"                                  ,"173.240.220.68, 445, X1"                     ,"SMB"                                  ,""
"74" ,"" ,"UTC 11/01/2014 10:06:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56896, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"75" ,"" ,"UTC 11/01/2014 10:06:31.800","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"76" ,"" ,"UTC 11/01/2014 10:06:42.064","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2135, X0"                       ,"Port:  2135"                          ,""
"77" ,"" ,"UTC 11/01/2014 10:06:50.656","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 47520, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"78" ,"" ,"UTC 11/01/2014 10:07:10.080","Notice"  ,"Network Access","TCP connection dropped"        ,"89.147.74.27, 1725, X1, ip59934a1b.rubicom.hu"                                ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"79" ,"" ,"UTC 11/01/2014 10:07:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56913, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"80" ,"" ,"UTC 11/01/2014 10:07:51.896","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"81" ,"" ,"UTC 11/01/2014 10:07:52.096","Notice"  ,"Network Access","UDP packet dropped"            ,"46.146.36.45, 31066, X1, net36-45.perm.ertelecom.ru"                          ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
"82" ,"" ,"UTC 11/01/2014 10:07:52.400","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2139, X0"                       ,"Port:  2139"                          ,""
"83" ,"" ,"UTC 11/01/2014 10:07:52.400","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"84" ,"" ,"UTC 11/01/2014 10:08:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56927, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"85" ,"" ,"UTC 11/01/2014 10:08:29.640","Notice"  ,"Network Access","TCP connection dropped"        ,"125.46.53.169, 40826, X1, hn.kd.ny.adsl"                                      ,"173.240.220.68, 3306, X1"                    ,"RPC Services"                         ,""
"86" ,"" ,"UTC 11/01/2014 10:08:57.416","Notice"  ,"Network Access","UDP packet dropped"            ,"185.55.170.64, 1025, X1"                                                      ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"87" ,"" ,"UTC 11/01/2014 10:08:57.496","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2143, X0"                       ,"Port:  2143"                          ,""
"88" ,"" ,"UTC 11/01/2014 10:09:14.752","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"89" ,"" ,"UTC 11/01/2014 10:09:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56950, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"90" ,"" ,"UTC 11/01/2014 10:09:40.096","Notice"  ,"Network Access","TCP connection dropped"        ,"89.147.74.27, 1885, X1, ip59934a1b.rubicom.hu"                                ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"91" ,"" ,"UTC 11/01/2014 10:09:42.496","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"92" ,"" ,"UTC 11/01/2014 10:10:17.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 56970, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"93" ,"" ,"UTC 11/01/2014 10:10:17.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2150, X0"                       ,"Port:  2150"                          ,""
"94" ,"" ,"UTC 11/01/2014 10:10:18.384","Notice"  ,"Network Access","UDP packet dropped"            ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"                            ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                          ,""
"95" ,"" ,"UTC 11/01/2014 10:10:59.576","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"96" ,"" ,"UTC 11/01/2014 10:11:06.640","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"97" ,"" ,"UTC 11/01/2014 10:11:17.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2156, X0"                       ,"Port:  2156"                          ,""
"98" ,"" ,"UTC 11/01/2014 10:11:18.256","Notice"  ,"Network Access","UDP packet dropped"            ,"142.196.0.40, 50683, X1, 142-196-0-40.res.bhn.net"                            ,"173.240.220.68, 16975, X1"                   ,"Port: 16975"                          ,""
"99" ,"" ,"UTC 11/01/2014 10:11:23.160","Notice"  ,"Network Access","Web management request allowed","204.212.170.10, 55463, X1, snwlhosted.com"                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"100","" ,"UTC 11/01/2014 10:11:26.416","Notice"  ,"Network Access","TCP connection dropped"        ,"122.225.109.109, 6000, X1"                                                    ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"101","" ,"UTC 11/01/2014 10:12:10.880","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"102","" ,"UTC 11/01/2014 10:12:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57018, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"103","" ,"UTC 11/01/2014 10:12:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2160, X0"                       ,"Port:  2160"                          ,""
"104","" ,"UTC 11/01/2014 10:13:04.368","Notice"  ,"Network Access","UDP packet dropped"            ,"121.211.119.221, 11600, X1"                                                   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"105","" ,"UTC 11/01/2014 10:13:04.624","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"106","" ,"UTC 11/01/2014 10:13:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57035, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
