"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                ,"Rule"
"121","" ,"UTC 11/01/2014 10:17:10.832","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"122","" ,"UTC 11/01/2014 10:17:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57097, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"123","" ,"UTC 11/01/2014 10:17:57.640","Notice"  ,"Network Access","UDP packet dropped"            ,"5.167.175.188, 52597, X1"                                                     ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"124","" ,"UTC 11/01/2014 10:17:58.000","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2180, X0"                       ,"Port:  2180"                          ,""
"125","" ,"UTC 11/01/2014 10:18:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57114, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"126","" ,"UTC 11/01/2014 10:19:07.624","Notice"  ,"Network Access","TCP connection dropped"        ,"89.14.86.140, 56789, X1, x590e568c.dyn.telefonica.de"                         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"127","" ,"UTC 11/01/2014 10:19:15.816","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2183, X0"                       ,"Port:  2183"                          ,""
"128","" ,"UTC 11/01/2014 10:19:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57129, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"129","" ,"UTC 11/01/2014 10:19:37.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57132, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"130","" ,"UTC 11/01/2014 10:19:47.784","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2187, X0"                       ,"Port:  2187"                          ,""
"131","" ,"UTC 11/01/2014 10:19:47.816","Notice"  ,"Network Access","UDP packet dropped"            ,"89.160.159.71, 39431, X1"                                                     ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"132","" ,"UTC 11/01/2014 10:19:48.240","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"133","" ,"UTC 11/01/2014 10:20:15.016","Notice"  ,"Network Access","TCP connection dropped"        ,"50.22.22.146, 47976, X1, 50.22.22.146-static.reverse.softlayer.com"           ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
