No.,Time,Source,Destination,Protocol,Length,Info,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
11547,78.634478,24.6.173.220,69.194.244.13,TCP,54,10972 > 80 [ACK] Seq=1220 Ack=469 Win=255092 Len=0,37.4404,-121.8705,37.4914,-122.211
11548,78.634649,24.6.173.220,69.194.244.13,TCP,54,"10972 > 80 [FIN, ACK] Seq=1220 Ack=469 Win=255092 Len=0",37.4404,-121.8705,37.4914,-122.211
11549,78.652586,69.194.244.13,24.6.173.220,TCP,60,80 > 10972 [ACK] Seq=469 Ack=1221 Win=8190 Len=0,37.4914,-122.211,37.4404,-121.8705
11550,78.836804,24.6.173.220,69.194.244.20,TCP,54,"10968 > 80 [FIN, ACK] Seq=1 Ack=1 Win=256960 Len=0",37.4404,-121.8705,37.4914,-122.211
11551,78.837057,24.6.173.220,66.150.149.24,TCP,54,"10966 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,33.7516,-84.3915
11552,78.837214,24.6.173.220,208.91.172.36,TCP,54,"10962 > 80 [FIN, ACK] Seq=1 Ack=1 Win=256960 Len=0",37.4404,-121.8705,37.4249,-122.0074
11553,78.83741,24.6.173.220,208.91.172.36,TCP,54,"10970 > 80 [FIN, ACK] Seq=1 Ack=1 Win=256960 Len=0",37.4404,-121.8705,37.4249,-122.0074
11554,78.837544,24.6.173.220,54.243.35.94,TCP,54,"10956 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,39.0437,-77.4875
11555,78.837699,24.6.173.220,54.243.35.94,TCP,54,"10955 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,39.0437,-77.4875
11556,78.837819,24.6.173.220,64.94.107.59,TCP,54,"10952 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,33.7516,-84.3915
11557,78.838006,24.6.173.220,199.233.57.41,TCP,54,"10949 > 80 [FIN, ACK] Seq=1 Ack=1 Win=66148 Len=0",37.4404,-121.8705,38.0,-97.0
11558,78.838159,24.6.173.220,69.194.244.13,TCP,54,"10971 > 80 [FIN, ACK] Seq=1 Ack=1 Win=256960 Len=0",37.4404,-121.8705,37.4914,-122.211
11559,78.838342,24.6.173.220,199.233.57.41,TCP,54,"10946 > 80 [FIN, ACK] Seq=1 Ack=1 Win=66148 Len=0",37.4404,-121.8705,38.0,-97.0
